Club Name,Recordings,Club Identifier,Country,Additional Info
Myckle IK,35,myckle-ik-15acddb6,Sweden,Myckle
My Club,90,my-club-9d02214f,Unknown,Unknown
Armour 2010,29,my-club-4539a5e6,Unknown,Unknown
SBMC,110,sbmc-thunderbirds,Unknown,Unknown
My Clubhouse,40,my-clubhouse-dc72f0aa,Unknown,Unknown
My Clubhouse,40,my-clubhouse-dc72f0aa,Unknown,Unknown
Bootle FC,16,bootle-fc-under-16,England,Bootle
Bootle FC,16,bootle-fc-under-16,England,Bootle
Bootle,220,bootle-football-club,Bootle,England
Borah Lacrosse,26,borah-lacrosse-club,United States,
Borcik Teams,60,check-hers-elite-lacrosse-2031,,
Bordeaux athletic club,17,bordeaux-athletic-club-5d5d0167,France,Bordeaux
BEC,86,bordeaux-etudiants-club,,
Bordentown FC,297,bordentown-fc-jaguars,United States,Bordentown
Bording IF,826,bording-idraetsforegning,Denmark,Bording
Boreal FC,541,boreal-futbal-club,,
Borehamwood 2000 FC,126,borehamwood-2000-fc,England,Borehamwood
Boreham Wood  FC,446,boreham-wood-fc-pase-academy,England,Borehamwood
Borehamwood Youth FC,62,borehamwood-26ac043a,England,Borehamwood
Borensbergs IF FK,238,borensbergs-if,Sweden,Borensberg
Borens IK,232,borens-ik,Sweden,Borensberg
Borgeby FK,105,borgeby-fk,Sweden,Borgeby
Borgen IL,53,borgen-idrettslag,Norway,Borgen
Borges’s Club,16,borgess-club,,
Borghaven IF,132,borghaven-if,Denmark,Borghaven
Borghorster Fußballclub 1911/1924 e.V.,28,borghorster-fuballclub-19111924-ev,Germany,Borghorst
Under 17,65,borgomanero,,
Borgomanero,31,borgomanero-40ba4b08,Italy,Borgomanero
borgosesia,27,borgosesia,Italy,Borgosesia
Börje,30,borje,Sweden,Börje
Bornacoola GAA,40,bornacoola-gaa,Ireland,Bornacoola
Borneo Anfield Stadium,48,borneo-anfield-mini-football,Indonesia,
BTB,34,born-to-be-3c3f99e3,,
Born to Play,159,born-to-play,,
Boronia Soccer Club,76,boronia-soccer-club,Australia,Boronia
Boroondara Eagles FC,156,boroondara-eagles-fc,Australia,Boroondara
Boro Rangers,167,boro-rangers-football-cclub,,
Blaze,306,eoghann-dover,,
Boroughmuir Rugby,135,boroughmuir-rugby-and-community-sports-club,Scotland,Edinburgh
Boroughmuir Thistle FC,448,boroughmuir-thistle-football-club,Scotland,Edinburgh
Borre Idrettsforening,29,borre-idrettsforening,Norway,Borre
BSK,49,borsod-sport-klub-7c961546,,
BO rugby,19,bo-rugby-96a938d6,,
BoRuiHeng,90,boruiheng,,
Borup IF,250,borup-if,Denmark,Borup
Borussia Del Mar SC,36,club-82a2b4ef,United States,Del Mar
Borussia Dorthmund International Academi Hawaii,30,borussia-dorthmund,United States,Hawaii
"""",109,borussia-dortmund-international-academy-san-antoni,,
Borussia Mönchengladbach,1338,borussia-monchengladbach,Germany,Mönchengladbach
Borussia Pankow 1960 e.V.,23,borussia-pankow-1969-ev,Germany,Berlin
BIH,35,bih,,
Boss Football Academy,143,fudboltec,,
Boston Bolts,308,bolts,United States,Boston
Boston Bolts ECRL,53,boston-bolts-17,United States,Boston
Bolts,1554,boston-bolts-8,,
Boston Bolts West,85,hampshire-united,United States,Boston
Boston College,75,boston-college,United States,Boston
BC Men's Soccer,99,boston-college-mens-soccer,United States,Boston
Boston Collegiate Charter School,49,boston-collegiate-charter-school,United States,Boston
Boston Futsal Palace,162,boston-futsal-palace,United States,Boston
BGS,387,boston-grammar-school,,
BI,42,boston-international-boys-soccer-team,,
Boston Public Schools,44,boston-public-schools,United States,Boston
BRS,41,boston-rising-sports,,
Boston River Formativas,15,boston-river-formativas-b1602b92,Uruguay,Montevideo
Boston River Formativas,15,boston-river-formativas-b1602b92,Uruguay,Montevideo
Boston River SAD,277,montevideo-wanderers-futbol-club,Uruguay,Montevideo
BRFC,77,boston-rugby-club,,
Boston Street FC,130,boston-street-futbol-club,United States,Boston
Boston United,202,boston-united-fc-5,England,Boston
Boston United,202,boston-united-fc-5,England,Boston
Bothell FC,12,bothell-fc,United States,Bothell
Botkyrka Academy P10,25,svenska-fotbollsakademin,Sweden,Botkyrka
botsch architektur,51,botsch-architektur,,
Bottesford FC,12,bottesford-fc,England,Bottesford
Bottesford Town FC,76,bottesford-town-fc-f85f7a3c,England,Bottesford
Bottisham,67,bottisham-fc,England,Bottisham
Boulder Bears 2030,12,boulder-bears-2030,United States,Boulder
BB and NC Club,131,bears-football,,
Boulder High Soccer,25,boulder-high-school-soccer-programs,United States,Boulder
Boulder Rugby,45,boulder-rugby-athletic-club,United States,Boulder
BUFC,139,boulder-united-fc,,
BVL,79,boulder-valley-lacrosse,,
BOULIAC,41,bouliac-football-club,,
Boundary Oak School,17,boundary-oak-school,,
La toile,27,boundy-namory,,
BoupèreMonProuant Football Club,220,bouperemonprouant-football-club,France,Boupère
Bourbon Sportif,13,bourbon-sportif,France,Bourbon-Lancy
Bourges FC feminine,30,bourges-foot-18-feminine,France,Bourges
BOURGES FOOT 18,208,bourges-foot-18-bf18,France,Bourges
BOURGES FOOTBALL CLUB,10,bourges-fc-8bc063e2,France,Bourges
Moulon,163,bourges-moulon-es,France,Moulon
BOURGES XV,187,bourges-xv,France,Bourges
Bourg Sud,70,bourg-sud,France,Bourg-en-Bresse
Bourguébus,46,bourguebus-fc,France,Bourguébus
Bourne Canalmen,16,bourne-canalmen,England,Bourne
BCS,57,bcs-united,,
BCS,57,bcs-united,,
Bournemouth Electric,30,bournemouth-electric-4751316e,England,Bournemouth
Bournemouth Electric u14’s,136,bransgore-youth-football-club,England,Bournemouth
Bournemouth Poppies fc,12,bournemouth-poppies-fc-033219d9,England,Bournemouth
Bournemouth,84,bournemouth-rfc,England,Bournemouth
Bournemouth Sports FC,25,bournemouth-sports-fc-01665c9d,England,Bournemouth
Bournemouth Sports Ladies,102,bournemouth-sports-ladies,England,Bournemouth
Sport BU,86,adam-tapper,England,Bournemouth
Bournemouth University,32,bournemouth-university,England,Bournemouth
Bourne Town FC,12,bourne-town-fc,England,Bourne
Bourneview Mill,27,bourneview-mill-fc-3e0f8cab,England,Bourne
Bournville and Kings Heath Hockey Club,34,bournville-and-kings-heath-hockey-club,England,Bournville
Bournville,75,bournville-football-club,England,Bournville
AVERY FIELDS SPORTS & EVENTS LTD,29,bournville-rugby-football-club,,
Bouzonville Handball,29,bouzonville-handball,France,Bouzonville
Bovender SV,107,bovender-sportverein-v-1861-ev,Germany,Bovenden
Bovey Tracey,96,bovey-tracey-afc,England,Bovey Tracey
Bovingdon Fc,262,berkhamsted-fc,England,Bovingdon
Bovingdon F.C.,78,bovingdon-fc,England,Bovingdon
Bowdoin,10,bowdoin-rugby-football-club,United States,Brunswick
Bowdon Hockey Club,105,bowdon-hockey-club,England,Bowdon
Bowdon,107,bowdon-rugby-club,England,Bowdon
Bowers,50,bowers,England,Basildon
Bowers,50,bowers,England,Basildon
Bowers,50,bowers,England,Basildon
Bowers and Pitsea LFC,11,bowers-and-pitsea-fc-a8e759e6,England,Basildon
Bowers & Pitsea U12,12,bowers-pitsea-05b856ea,England,Basildon
Bowers & Pitsea FC,328,bowers-pitsea-fc,England,Basildon
Bowers & Pitsea,86,bowers-pitsea-9,England,Basildon
Bow Fc,54,bow-fc,,
Bowie FC,26,bowie-fc,United States,Bowie
Bowie FC,26,bowie-fc,United States,Bowie
BGFC,265,bowling-green-football-club,,
Purples Soccer,22,bowling-green-high-school-boys-soccer,,
BGSU Rugby,27,bowling-green-state-university-mens-rugby,United States,Bowling Green
Bowral Rugby,67,boral-rugby-club-inc,Australia,Bowral
Bows Soccer Academy,424,bows-soccer-academy,,
Boxeland Club Islois,186,boxeland-club-islois-61d63131,,
Box Elder High School soccer,179,box-elder-high-school-soccer,United States,Brigham City
BE United FC,61,box-elder-united-fc-c00fd6e1,,
BE United,141,box-elder-united-football-club,,
Box Hill,26,eltham-redbacks-6dd159c4,Australia,Box Hill
Box Hill,26,eltham-redbacks-6dd159c4,Australia,Box Hill
BHUFC Juniors,133,gbgal,Australia,Box Hill
Box Hill United SC,826,box-hill-united-sc,Australia,Box Hill
Box,18,box-soccer,,
Box State Bruins,47,creek-bluebox-state-bruins,United States,
Boyan,21,boyan-dimov,,
Boyd,32,boyd,,
BBS,207,boyd-buchanan,,
Boyle Celtic,25,boyle-celtic,Ireland,Boyle
Boyle Elite,133,boyle-elite,Ireland,Boyle
William,40,frangy,,
Boyne Rovers Football Club,46,boyne-rovers,Ireland,Navan
Boyne RFC,208,boyne-rugby-football-club,Ireland,Navan
BITS,57,boyne-tannum-football-club,,
Boyne under U18 2024,33,boyne-under-17-2023,Ireland,Navan
Boynton knights,47,boynton-beach-knights-8d052485,United States,Boynton Beach
Knights,57,boynton-knights-5,United States,Boynton Beach
Boynton Knights,134,aiden,United States,Boynton Beach
Boynton Knights,134,aiden,United States,Boynton Beach
Knights,57,boynton-knights-5,United States,Boynton Beach
Boynton Knights,134,aiden,United States,Boynton Beach
Boynton Knights FC,32,boynton-knights-fc-57086397,United States,Boynton Beach
Deprecated - Boy's,11,boys-fdl,,
Boys 2005,99,jonah-lathrop,,
NONE,112,boys-2013,,
Boys 2013,17,personal-df5992c7,,
Boys 2015,93,boys-2015,,
Boys Do Cry FC,20,boys-do-cry-fc-e34014e7,,
U13 Boys Football,11,u13-boys-football,,
Boys Football West Academy Program,14,amateur-and-ntc,,
Boys - SoCal Elite FC,25,socal-elite-fc-b05-academy,United States,Southern California
Surf Soccer Club,45,kimberly-boys-soccer,United States,
Citrus Hill High School,30,boys-soccer,United States,Perris
Boys Soccer - Thomas,16,clover-park-school-district,,
Boys Basketball,109,boys-basketball,,
Boy's Texas RL,219,west-side-alliance-boys,United States,Texas
Milton Union Soccer,63,milton-union,United States,Milton
Mount Si Boys Lacrosse,119,mount-si-wildcats,United States,Snoqualmie
Boys - World Class FC,505,world-class-fc-4,United States,
Bozeman Hawk Soccer,120,bozeman-hawk-soccer,United States,Bozeman
Bozeman Lacrosse,38,bozeman-lacrosse,United States,Bozeman
BOZ FC,19,macedonia-football-club,United States,
Prosper Football,45,prosper-football,United States,Prosper
BP DFF P2011 Akademi,130,if-brommapojkarna-1df8ee39,,
BP F10U,40,tyreso-ff-16,,
BP F2011A,35,bp-f2011a-6290c7a5,,
BP Flickakademi,275,simple-football-e0b661ba,,
BP Fotboll F2012A,97,bp-fotboll-f2012a,,
BP P12A,141,henrik-raspe,,
BP_TFF,72,if-brommapojkarna-5861ac75,,
BR,121,colorado-rapids-youth-soccer-club-4,,
Brabrand,14,brabrand-if-f36d7628,Denmark,Brabrand
Brabrand IF,145,brabrand-if-fodbold,Denmark,Brabrand
BR Academy,258,br-academy,,
BRACKAVILLE GFC,49,brackaville-owen-roes-34107ce6,Ireland,Brackaville
Brackley Athletic FC,26,brackley-athletic-football-club,England,Brackley
Brackley RUFC,88,brackley-rugby-union-football-club,England,Brackley
Brackley Town Football Club,42,brackley-town-51060a71,England,Brackley
Brackley Town FC - U11,18,brackley-town-fc-lions,England,Brackley
Brackley Town Football Club PDC,58,brackley-town-football-club,England,Brackley
Bracknell Forest FC,18,bracknell-forest-fc,England,Bracknell
Bracknell Rugby Club,217,bracknell-rugby-club,England,Bracknell
Bracknell Town FC,54,bracknell-town-football-club,England,Bracknell
Bradbury Bears FC,64,bradbury-ambarvale-football-club,England,Bradbury
BRYC,500,braddock-road-youth-club-d13ea9c7,,
Pirates,71,braden-river-high-school,,
BRSC,66,braden-river-sc,,
Braden River,90,braden-river-soccer-club-6,United States,Braden River
BRSC (Vatter),32,braden-river-soccer-club-106e4829,United States,Vatter
Bradfield College,282,bradfield-college-2,England,Bradfield
Bradfield Netball,23,bradfieldnetball,England,Bradfield
Bees,56,bradford-and-bingley-rugby-club,,
BCAFC,416,bradford-city-academy,,
Bradford City AFC,71,bradford-city-afc-women-203b7504,England,Bradford
Bradford,197,bradford-city-afc,England,Bradford
Bradford City Women,19,bradford-city-afc-women,England,Bradford
Bradford College,44,bradford-college-fc,England,Bradford
BGS Rugby,60,bradford-grammar-school-rugby-club,England,Bradford
Bradford (Park Avenue),165,bradford-park-avenue-0d4aa407,England,Bradford
Salem,15,bradford-salem,,
Bradford Soccer,97,maryville-high-school-soccer,United States,Bradford
Bradford Town FC,87,bradford-town-fc,England,Bradford
Bradford United,120,bradford-united,England,Bradford
Bradley Abrahams,21,bradley-abrahams,,
Bradley Bears,119,bradley-central-high-school,,
Bradley FC,96,snohomish-united-4,,
Bradley University Soccer,160,bradley-university-soccer,United States,Peoria
Bradly Dawson,39,bradly-dawson,,
Bradshaw Family,150,bradshaw-family,,
Brædstrup IF,57,braedstrup-if-fodbold,Denmark,Brædstrup
Brændekilde Bellinge Boldklub,130,braendekilde-bellinge-boldklub,Denmark,Bellinge
BRAINCI,23,brainci-117a279b,,
BRAINCI,23,brainci-117a279b,,
Braintree,1022,braintree-futsal-club,England,Braintree
Braintree Rugby Club,85,braintree-rugby-union-football-club,England,Braintree
Braintree Town FC,38,braintree-town-fc-8cc16991,England,Braintree
Braintree Youth,92,braintree-youth-and-girls-fc,England,Braintree
Braishfield Bees,69,braishfield-bees-youth-fc,Northern Ireland,Braishfield
Braison_09,66,braisons-club,,
Braison's Recordings,12,braisons-recordings,,
Bramdrupdam Fodbold,198,bramdrupdam-fodbold,Denmark,Bramdrupdam
Bramfeld,38,bramfelder-sport-verein,Germany,Bramfeld
Bramfelder SV,168,bramfelder-sportverein-von-1945-ev-baa337a5,Germany,Hamburg
Brämhult IK,20,bramhult-ik,Sweden,Brämhult
Bramley Phoenix,137,bramley-phoenix-rugby-football-club,England,Bramley
Bramley Buffaloes,12,bramley-rugby-league-community-club-ltd,England,Bramley
Bramming B,192,bramming-boldklub,Denmark,Bramming
Brampton Manor,10,brampton-manor-academy,England,Brampton
Brampton Sankofa,66,brampton-sankofa,England,Brampton
Brampton Soccer Club,44,brampton-soccer-club-42d492a3,Canada,Brampton
Bramstedter TS,25,bramstedter-ts-2e14ccc5,Germany,Bramstedt
Brams United,10,brams-united-a8abe69c,,
Brams United,10,brams-united-a8abe69c,,
BTSC,171,branchburg-travel-soccer-club,,
The Danes,63,brandanes-football-club,,
Brandbu Fotball,52,brandbu-if-fotball,Norway,Brandbu
Brande Idrætsforening,245,brande-idraetsforening,Denmark,Brande
Brandenburger SC Süd,87,brandenburger,Germany,Brandenburg an der Havel
BG FC,224,brandon-groves-footballclub,,
Brandon High School,89,brandon-high-school-57923995,United States,Brandon
Brandon Park FC,55,brandon-park-football-club,Australia,Brandon Park
Veo 2,57,brandon-simpson,,
Brandon Town FC,44,lakenheath-football-club-reserves,England,Brandon
Asheville City Soccer Club,110,brandon-wangrin,United States,Asheville
Brands League,53,dop,,
Brandýs n. Labem,58,brandys-n-labem,Czech Republic,Brandýs nad Labem
Hornets,46,branford-hornets,,
branksome united,19,branksome-united,England,Poole
Brantford Harlequins RFC,61,brantford-harlequins-rugby-football-club,Canada,Brantford
BRA,23,brantham-athletic-fc-061aba20,,
Brantham,127,brantham-athletic-fc,England,Brantham
BAFC S Mens,68,brantham-athletic-football-club-senior-mens,,
Brashier Middle College,106,brashier-middle-college-charter-high-school,United States,
Brasil,160,brasil-ee181d04,,
Bratislavský Futbalový Zväz,44,bratislavsky-futbalovy-zvaz-bc41172a,Slovakia,Bratislava
Braveheart FC/Island School,161,braveheart-football-club,,
Bravo,13,bravo-8079569a,,
BravoSine01 - 04.02.2025,614,beo-capital-partners,,
Beo Capital Partner,385,beo-capital-partner,,
FK Partizan,203,fk-partizan-8a6da8fc,Serbia,Belgrade
BravoSine03,232,bravosine03,,
BravoSine05 - 05.04.2024.,225,bravosine05-z,,
BravoSine06 - 29.03.2024.,196,bravosine06-z,,
BravoSine07 - 05.04.2024.,233,bravosine07-z,,
BravoSine08 - 26.04.2024.,1064,bravosine08,,
BravoSine09 - 11.05.2024.,531,bravosine09,,
Bravo Youth Football,11,bravo-youth-football,,
Braxgata HC,15,braxgata-hc,Norway,Brax
Bray Emmets,62,bray-emmets,Ireland,Bray
BIFE,18,bray-institute-of-further-education,,
Bray,73,cabinteely-football-club,Ireland,Bray
Bray Wanderers FC,141,bray-wanderers-fc,Ireland,Bray
Braza FC,32,braza-fc,,
Brazas,154,brazas-futebol-club-3ca9e199,,
Brazil Development Academy,98,k10-football-cv-analysis-2,United States,
BFA,78,brazilian-football-association,,
Brazilian Lions,136,brazilian-lions,,
Brazilian Soccer Training Center,216,brazilian-soccer-training-center,United States,
Brazilian Talent Sport Academy,26,brazilian-talent-sport-academy,,
Brazosport ISD/Brazosport HS Boys Soccer,12,brazosport-isdbrazosport-hs-boys-soccer,United States,Clute
Chargers,75,brazosport-youth-soccer-association-chargers,,
Brazos Valley Cavalry FC,11,brazos-valley-cavalry-fc,United States,Bryan
Brazoswood HS,31,brazoswood-hs,United States,Clute
Brevik,77,bre-e133563a,Norway,Brevik
Breadalbane Community Club,48,breadalbane-strathtay-youth-football-club,Scotland,Aberfeldy
Breaffy GAA,19,breaffy-gaa-ce589a4d,Ireland,Breaffy
Breakaway Box Lacrosse,99,breakaway-box-lacrosse,United States,
Breakers 2011 - '24/25,23,ross-valley-breakers-b107c81d,,
Breakers 2014 white,60,breakers-2014-white,,
Breakers Boys 12.3,25,nil-d837618b,,
Breakers FC,98,breakers-fc,,
Bream Amateurs Football Club,58,bream-amateurs-football-club,England,Bream
Bream RFC,44,bream-rfc,England,Bream
The Brearley School,19,brearley-school,United States,New York City
BREVNSFC,125,east-valley-nsfc-3e5d1d34,,
Brebeuf Girls soccer,37,brebeuf-jesuit-girls-soccer,United States,Indianapolis
Brebeuf Jesuit,59,brebeuf-jesuit-preparatory-school,United States,Indianapolis
Brechin Victoria JFC,179,brechin-victoria-jfc,Scotland,Brechin
Brecksville Lacrosse,20,brecksville-lacrosse,United States,Brecksville
Brecon RFC,55,brecon-rfc,Wales,Brecon
Bredagh GAC,110,breadagh-gac,Northern Ireland,Bredagh
BRC,35,breda-rugby-club,,
Bredballe IF Årgang 2012,182,bredballe-if-d298836a,Denmark,Bredballe
Bredballe IF,126,bredballe-if-fb62a130,Denmark,Bredballe
Bredden FC,81,bredden-fc,Denmark,Bredden
Bredhurst FC,18,bredhurst-fc-908cef1b,England,Bredhurst
Bredhurst Juniors,73,bredhurst-juniors,England,Bredhurst
Bredon AFC,96,bredon-afc,England,Bredon
Bredon Star,77,bredon-star-rfc,England,Bredon
Breidablik,17,breidablik-42ede5d6,Iceland,Kópavogur
Breiðablik,2334,breiablik,Iceland,Kópavogur
