Club Name,Recordings,Club Identifier,Country,Additional Info
MK Athletic FC,92,milton-keynes-athletic-fc,England,Milton Keynes
Arundel FC,92,arundel-football-club-2,England,
Braintree Youth,92,braintree-youth-and-girls-fc,England,Braintree
Carrick Rangers FC,92,carrick-rangers-fc,Northern Ireland,
Leigh miners American football team,92,leigh-miners-american-football-team,England,Leigh
Exeter City Women,92,exeter-city-women,England,
Market Bosworth RFC,92,market-bosworth-rugby-football-club,England,Market Bosworth
Collingham,92,collingham-juniors,England,Collingham
Chelmsford Rugby Club,92,chelmsford-rugby-club-f9de7ea9,England,Chelmsford
Southend United,92,gretna-2008,England,Southend-on-Sea
Coalville Town FC,92,anstey-nomads-football-club-a359f3bb,England,Coalville
Bloxham School,92,bloxham-school-2,England,Bloxham
Brightlingsea Regent FC,92,brightlingsea-regent-fc,England,Brightlingsea
Epping Rugby,92,epping-upper-clapton-rugby-club,England,
CLIFTON RFC,92,clifton-rugby-football-club,England,Clifton
Cumnor Minors FC,91,cumnor-minors-fc,England,Cumnor
Exeter RTC,91,exeter-regional-talent-centre,England,
AFC Bolton,91,afc-bolton,England,Bolton
Lakelands FC,91,lakelands-football-club,England,
Chaddesley Ravens,91,chaddesley-ravens-u10-mjpl,England,Chaddesley Corbett
ACS Hillingdon International School,91,acs-hillingdon-international-school,England,Hillingdon
Effingham United,91,effingham-united-soccer-club,England,
Derby United,91,derby-united,England,Derby
The Angmering School,91,angmering,England,Angmering
Dunmore RFC,90,dunmore-rugby-football-club,England,
Dromore United,90,dromore-united,Northern Ireland,Dromore
Blundell’s School,90,blundells-school-40f5e591,England,
Chester FC Women,90,chester-fc-women,England,Chester
Billingshurst FC,90,billingshurst-fc-under-18,England,FC
High School of Dundee,90,high-school-of-dundee,Scotland,Dundee
Biggleswade FC,90,biggleswade-fc,England,FC
Michelmersh and Timsbury Youth,90,michelmersh-and-timsbury-youth,England,Michelmersh and Timsbury
Bishop's Stortford College,90,bishops-stortford-college,England,Bishop's Stortford
Molesey Leopards,90,molesey-leopards-1adae335,England,Molesey
George Salter Academy,90,george-salter-football-academy,England,
City of London Academy Southwark,90,cola-southwark-pride,England,London
Exeter School,90,exeter-school,England,
Dalkeith,90,dalkeith-rugby-football-club,Scotland,Dalkeith
Aston Youth FC,90,aston-youth-football-club,England,
Bridport football club,90,bridport-football-club-8f98f1c7,England,Bridport
Moray Girls,90,moray-girls-fc,Scotland,Moray
English Schools' Football Association,90,english-schools-football-association,England,
Hertford Heath,90,hertford-heath-football-club-2,England,Hertford
Magherafelt sky blues,89,magherafelt-sky-blues-fc,Northern Ireland,Magherafelt
Drumragh,89,drumragh-sasfields-gac,Northern Ireland,Drumragh
Fylde HC,89,fylde-hc,England,Fylde
Eschol Park FC,89,eschol-park-fc,England,
Morley Rugby Football Club,89,morley-rugby-football-club-ltd,England,Morley
Durham Johnston Comprehensive,89,durham-johnston-comprehensive,England,Durham
Baldock Town,89,baldock-town-football-club,England,Baldock
Eastbourne RFC,89,eastbourne-rugby-football-club,England,Eastbourne
Maltby juniors,89,maltby-juniors-d735e3e7,England,Maltby
Knowle Lions,89,knowle-fc,England,Solihull
Knowle Football Club,89,knowle-football-club-58c2222f,England,Solihull
Falmouth Town 1st Team,89,falmouth-town-2,England,Falmouth
Hackney RFC,88,hackney-rugby-football-club,England,Hackney
Lenzie,88,lenzie-football-club,Scotland,Lenzie
Avonmouth,88,avonmouth-old-boys-rfc-2a2273a4,England,Avonmouth
Danson,88,danson-sports-1e9cff94,England,Danson
Broughton Park,88,broughton-park-football-club,England,
Freemen's,88,city-of-london-freemens-school-2,England,League unknown
Brackley RUFC,88,brackley-rugby-union-football-club,England,Brackley
Haydon Bridge United,88,haydon-bridge-united-football-club,England,Haydon Bridge
Hampshire United,88,hampshire-united-c5f56066,England,
Bessingby,88,bessingby-park-rangers-4ec17dea,England,
BISC juniors fc,88,bisc-juniors-fc,England,
Headington Youth,88,headington-youth,England,Oxford
Henley Athletic,88,henley-athletic-football-club,England,Henley-on-Thames
Celtic FC,88,celtic-fc-90d9e196,Scotland,Glasgow
Moorside,88,moorside-rangers-football-club,England,Moorside
Hoddesdon,88,hoddesdon-town-youth-39df8cbe,England,Hoddesdon
Exeter College Football Academy,88,exeter-college-football-academy,England,
Cranleigh School,87,cranleigh-school,England,Cranleigh
Barnton,87,barnton-juniors-football-club,England,
Bradford Town FC,87,bradford-town-fc,England,Bradford
AFC Walcountians,87,afc-walcountians-2,England,Walcountians
Baguley Athletic,87,baguley-athletic-football-club,England,Manchester
Lane Head,87,lanehead,England,
Garforth Rangers,87,garforth-rangers-a5ab1d55,England,Garforth
Afc Totton,87,afc-totton-a67d611a,England,Totton
Enfield Town Fc,87,enfield-town-fc-bff60837,England,Enfield
Maghera Strollers,87,maghera-strollers-football-club,Northern Ireland,Maghera
Appledore FC,87,appledore-football-club,England,Appledore
Manchester Gregorians,87,manchester-gregorians,England,Manchester
AFC Crewe,87,afc-crewe-1b954c83,England,Crewe
MKRUFC,87,milton-keynes-rufc,England,Milton Keynes
Beragh Swifts,86,beragh-swifts-football-club,Northern Ireland,Swifts
Bowers & Pitsea,86,bowers-pitsea-9,England,Basildon
Hawkinge Town FC,86,hawkinge,England,Hawkinge
Kennington FC,86,kennington-football-club,England,
Kennington FC,86,kennington-football-club,England,
East Peckham United,86,east-peckham-united-fc,England,East Peckham
Alvechurch Football Club U11's,86,alvechurch-football-club-u11s,England,Alvechurch
KES Bath,86,kes-bath,England,Bath
Abernathy FC,86,abernathy-boys,Scotland,Abernathy
Sport BU,86,adam-tapper,England,Bournemouth
Histon FC,86,histon-eja-u13,England,Histon
Eton College,86,eton-college-rugby-club,England,
DoYMS,86,duke-of-york-military-school,England,
Carlisle,86,carlisle-67736276,England,
Carlisle United U9 - U16's,86,carlisle-united-u9-u16s,England,
Brora,85,brora-rangers-fc,Scotland,
Exmouth Town FC,85,exmouth-town-fc,England,
AFC Gnosall,85,afc-gnosall,England,Gnosall
Ashton & Lionel VEO,85,soccer-de-brazil-a0b7fcb4,England,
The Bees,85,billericay-rugby-football-club,England,
FC Middlewell,85,fc-middlewell-1736f3c9,England,Middlewell
Braintree Rugby Club,85,braintree-rugby-union-football-club,England,Braintree
AFC Dunstable -,85,afc-dunstable-5,England,Dunstable
Heaton Moor RUFC,85,heaton-moor-rugby-union-football-club-2,England,Heaton Moor
Bristol Rovers,85,bristol-rovers-football-club,England,Bristol
Coventry Phoenix Sporting,85,coventry-phoenix-sporting,England,Coventry
Bournemouth,84,bournemouth-rfc,England,Bournemouth
Barrow Town FC,84,robert-veo,England,
Elsecar Main,84,elsecar-main-fc,England,Elsecar
Hornchurch FC,84,hornchurch-football-club-633f92c7,England,Hornchurch
Ashcott FC,84,ashcott-football-club,England,
Lambeth Tigers FC,84,lambeth-tigers-football-club,England,
Ashley Down,84,ashley-down-old-boys-rfc,England,
Keswick RFC,84,keswick-rugby-football-club,England,
Burgess Hill RFC,84,burgess-hill-rfc,England,Burgess Hill
Chinnor Rugby Football Club,84,stewart-yates,England,Chinnor
CWS LACKEY,84,cws-lackey,England,
Danson Sports MDYL,84,danson-sports-mdyl,England,Danson
Bromsgrove School,84,bromsgrove-school,England,Bromsgrove
Cambridge South Hockey Club,84,cambridge-south-hockey-club-d4b05a62,England,Cambridge
Christleton new scene,84,christleton-new-scene-football-club,England,Christleton
Folly Lane ARLFC,84,folly-lane-arlfc,England,likely amateur Rugby League Football Club
Crawley and Maidenbower Panthers FC,84,crawley-maidenbower-panthers-39c29116,England,Crawley
The Medda,84,irvine-meadow-xi-fc,Scotland,Irvine
Barming Youth FC,83,barming-youth-fc,England,
Beer Albion,83,beer-albion-fc,England,
Bromley Rugby Club,83,bromley-rugby-club,England,Bromley
DBSEH,83,dubai-british-school-emirates-hills,England,
Mansfield RUFC,83,mansfield-rugby-union-football-club,England,Mansfield
Dyce FC,83,dyce-football-club,Scotland,Dyce
Middlewich Town Football Club,83,mark-morris,England,Middlewich
Mickleover FC,83,mickleover-football-club,England,Mickleover
AFC Stoneham Ladies,83,afc-stoneham-2,England,Stoneham
Alvechurch u15,83,alvechurch-u15,England,Alvechurch
DVSG,83,door-vriendschap-sterk-groesbeek,England,
Accrington Stanley,83,accrington-stanley-f9fa8f58,England,Accrington
Blaydon RFC,83,blaydon,England,Blaydon
Camberley Town Youth FC,83,camberley-town-youth-football-club-29cc9a43,England,Camberley
Roadrunners,83,road-runners,England,
Lewes HC,83,lewes-hockey-club,England,Lewes
Larkhall CIty,83,larkhallcityfc,Scotland,
Kirrie Thistle,83,kirrie-thistle-jfc,Scotland,Kirriemuir
Kiveton Park Football Club,82,kiveton-park-football-club-33e57287,England,Kiveton Park
BAC & Preston City,82,bac-whites-u13,England,Preston
Calderdale College,82,calderdale-college,England,Calderdale
Glasgow Rens,82,glasgow-rens-7791047c,Scotland,
John Lyon School,82,john-lyon,England,Harrow
Bristol Saracens,82,bristol-saracens-rugby-football-club,England,Bristol
Cambridge FC,82,cambridge-fc,England,Cambridge
Cambridge FC,82,cambridge-fc,England,Cambridge
Bushey and Oxhey FC,82,bushey-and-oxhey-fc,England,Bushey
DSPFC,82,columbia-youth-soccer-association,England,
Eastbourne borough whites,82,eastbourne-borough-youth,England,Eastbourne
Abbey rangers,82,abbey-rangers-fc-e69354dc,England,
Edgbaston Hockey Club,82,edgbaston-hockey-club-284a4c04,England,Edgbaston
Crusaders FC,82,engadine-crusaders-football-coub,Northern Ireland,Belfast
BSS & KHC,82,bishop-stopford-pe,England,
Melton Phoenix,81,melton-phoenix-fc-inc,England,Melton Mowbray
Coppull United FC,81,coppull-united-fc,England,Coppull
Beckenham FC,81,beckenham-fc,England,Football Club
Bev Town,81,beverley-town-football-club-278a3c4f,England,
Keresley RFC,81,keresley-rfc-c4457dbf,England,
Dronfield RUFC,81,dronfield-rugby-union-football-club,England,Dronfield
Halesowen Town Colts North U11,81,halesowen-town-colts-14772dee,England,Halesowen
Horsham Soccer,81,horsham-soccer-association,England,Sussex (likely)
Moneyfields,81,moneyfields-fc,England,Moneyfields
Guiseley AFC,81,guiseley-afc,England,Guiseley
Higher Bebington Kelma FC,81,vauxhall-motors-football-club,England,Higher Bebington
Moneyfields,81,moneyfields-fc,England,Moneyfields
Faversham Town,81,faversham-town-football-club,England,Faversham
Market Drayton Town FC,81,market-drayton-town-fc-43492364,England,Market Drayton
Bev Town,81,beverley-town-football-club-278a3c4f,England,
Farnborough FC Women,81,farnborough-town-women-football-club,England,Farnborough
Harefield Utd,81,harefield-utd,England,Harefield
Academy RFC,81,academy-rugby-football-club,England,
Dover Athletic Academy,80,dover-athletic-football-academy,England,Dover
Hutton Grammar School,80,hutton-grammar-school,England,Essex (likely)
Cranbrook Rugby Club,80,cranbrook-rugby-football-club-2,England,Cranbrook
Deal Town Rangers FC,80,deal-town-rangers-football-club,England,Deal
High Wycombe Rugby Club,80,high-wycombe-rugby-union-football-club,England,High Wycombe
Dream Academy,80,dream-academy,England,
BAILDON RUGBY CLUB,80,baildon-rugby-club,England,Rugby club
DNA Elite Football Academy,80,dna-elite-football-academy,England,
Accrington Stanley Women,80,accrington-stanley-women-fc,England,Accrington
Lurgan College,80,lurgan-college-rugby-football-club,Northern Ireland,Lurgan
Ards Football Club,80,ards-football-club-ea941129,Northern Ireland,Ards
Haslemere Hockey Club,80,haslemere-hockey-club,England,Haslemere
Mistley Rugby Club,80,mistley-rugby-union-football-club,England,Mistley
Skills Centre,80,milton-magic-junior-development,England,Milton Keynes
Haywards Heath,80,haywards-heath-town-youth-football-club,England,
Banwell FC,79,banwell-football-club-ad1c7bff,England,
Moortown St Malachys,79,moortown-st-malachys-gac,England,Moortown
Mickleover Sports Juniors FC,79,mickleover-sports-juniors-fc-celta-vigo,England,Mickleover
Albyn School,79,albyn-school,Scotland,Aberdeen
Doug Swancutt,79,doug-swancutt,England,
Harefield United Girls,79,harefield-united-girls,England,Harefield
Broxburn Athletic,79,broxburn-athletic,Scotland,Broxburn
Crediton,79,crediton-rugby-football-club,England,Crediton
Harpenden Town FC,79,harpenden-town-football-club,England,Harpenden
Chesterfield Junior Blues,79,chesterfield-junior-blues-fc,England,Chesterfield
Carniny AYFC,79,carniny-amateur-and-youth-fc,Northern Ireland,
Hollyfields,79,hollyfields-273be814,England,
AFC Coventry,79,afc-coventry,England,Coventry
Didsbury Toc H RFC,79,didsbury-toc-h-rfc,England,Didsbury
Alconbury Colts,79,yaxley-fc-5db63f43,England,Alconbury
Herefordshire FA,79,herefordshire-fa-player-development-centre,England,Hereford
AFC Whyteleafe,78,wayne-bullen,England,Whyteleafe
Leicester Nirvana FC,78,leicester-nirvana-fc,England,Leicester
Coalville Rugby Club,78,coalville-rugby-football-club,England,Coalville
Chadderton Cott AFC,78,chadderton-cott-afc,England,Chadderton
Cheshunt FC,78,cheshunt-football-club-902e4d4c,England,Cheshunt
Dover Rangers,78,dover-rangers-234e3d89,England,Dover
Bearsted Rovers,78,bearsted-rovers,England,
Chadderton Cott AFC,78,chadderton-cott-afc,England,Chadderton
Guildford Saints FC,78,guildford-saints-football-club,England,Guildford
AFC Whyteleafe,78,wayne-bullen,England,Whyteleafe
Edge Hill United Football Club,78,edge-hill-united-football-club-ff1e108a,England,Ormskirk
Maldon & Tiptree,78,maldon-tiptree-youth-fc,England,
AFC Whyteleafe,78,wayne-bullen,England,Whyteleafe
Kidlington Football Club,78,kidlington-football-club,England,Kidlington
Huntly FC Women,78,huntly-football-club-women,Scotland,Huntly
Cheshunt FC,78,cheshunt-football-club-902e4d4c,England,Cheshunt
Birmingham Vulcans,78,birmingham-vulcans-rugby-football-club,England,Birmingham
Dream Cam 14,78,blue-orange-jan-2025,England,
Hempstead Valley,78,hempstead-valley,England,
Bursledon Youth FC,78,bursledon-youth-fc,England,Bursledon
Bovingdon F.C.,78,bovingdon-fc,England,Bovingdon
Starz & Brandhall,77,starz-academy,England,Birmingham
Brentford FC Woman B Team,77,brentford-fc-woman,England,Brentford
Ely City,77,ely-city,England,Ely
Glasgow City U13s NextGen,77,glasgow-city-u18s,Scotland,
Bredon Star,77,bredon-star-rfc,England,Bredon
Hutton,77,hutton-fc-2,England,Essex (likely)
LCFC Women Academy 2,77,lcfc-women-academy-2,England,Women's Academy 2
Kings Hill / West Malling / Ditton,77,kings-hill-football-club-8ed752ba,England,Kings Hill
Leighton Park School,77,leighton-park-school,England,Leighton Buzzard
Faversham,77,faversham-town-fc-decb350d,England,Faversham
Coleshill Colts Football Club,77,coleshill-colts-football-club,England,Coleshill
Lewes Rugby Club,77,lewes-rugby-football-club-4,England,Lewes
Dudley Town u18's,77,lye-town-football-club,England,Dudley
Maryport RLFC,77,maryport-amateur-rugby-league-football-club,England,Maryport
LR Ladies,76,atherton-lr-ladies,England,Atherton
Devizes RFC,76,devizes-rfc,England,Devizes
Hebburn Town FC Juniors,76,hebburn-town-fc-juniors,England,Hebburn
Spraire Lads and lasses,76,darlington-b3b49514,England,
Drew Jordan,76,drew-jordan-basketball,England,
Cov jag,76,coventrians-jaguar,England,Coventry
Bottesford Town FC,76,bottesford-town-fc-f85f7a3c,England,Bottesford
Ashford U14s,76,ashford-u14s,England,Youth team
AFC Fylde,76,afc-fylde-3305a600,England,Fylde
Dream chaser and Olympia,75,fc-olympia,England,
Hednesford Town YDS MJPL,75,hednesford-town-yds-mjpl,England,Hednesford
Ayr United,75,ayr-united-football-club,Scotland,Ayr
Heanor Juniors,75,heanor-juniors-fc,England,Heanor
Hitchin town,75,hitchin-town-raptors,England,Hitchin
Ealing United,75,ealing-united-fc-1c0d3454,England,Ealing
Augher GFC,75,augher-st-macartans,Northern Ireland,Augher
Glasgow Utd,75,glasgow-united-football-club,Scotland,
Birmingham United FC,75,birmingham-united-fc,England,Birmingham
AFC Uckfield Town,75,afc-uckfield-town-f5d6aaa7,England,Uckfield
Blackmore Youth,75,blackmore-youth,England,
Bournville,75,bournville-football-club,England,Bournville
Epping Eastwood FC,75,epping-eastwood-football-club-719f9b99,England,
Bridge of Weir United,75,bridge-of-weir-united-football-club,Scotland,Bridge of Weir
Chesterfield,75,joshua-abig,England,Chesterfield
Hastings United U11 Greys,75,hastings-united-greys-u11,England,Hastings
Kidderminster,74,kidderminster-carolians-rfc,England,Kidderminster
Abbey Youth Football Club,74,abbey-youth-football-club-b661895e,England,
Folkestone rugby club,74,folkestone-rugby-club-cf3ebadc,England,Folkestone
Alphington Football Club,74,alphington-youth,England,Exeter
DR,74,donovan-dr,England,
Ascot Utd FC,74,ascot-united-football-club,England,
Ivybridge Rugby Club,74,ivybridge-rugby-club-0032acbc,England,Ivybridge
Doug Peterson,74,maddox-peterson,England,
Alvechurch,74,afc-6515dfb0,England,Alvechurch
Milton AFC,74,milton-afc,England,Milton Keynes
BCFC CT,74,birmingham-city-community-trust,England,Birmingham City CT
Barton united fc,74,barton-united-football-club,England,
Cheltenham HC,74,cheltenham-hockey-club,England,Cheltenham
Woolton La Coruna,74,msb-woolton-la-coruna,England,Woolton
Dunstablians,74,dunstablians-rugby-union-football-club-ltd,England,Dunstable
Beaumont Park Panthers,74,beaumont-park-panthers-a1d50048,England,
Harrow RFC,74,harrow-rugby-football-club,England,Harrow
Hanworth Villa FC,73,hanworth-villa-football-club,England,Hanworth
Middlesbrough RUFC,73,middlesbrough-rugby-union-football-club-2,England,Middlesbrough
Kidsgrove Athletic,73,kidsgrove-athletic-youth-40cd6319,England,Kidsgrove
Devizes Town,73,devizes-town-youth-football-club,England,Devizes
Draperstown Celtic FC,73,draperstown-celtic-fc,Northern Ireland,Draperstown
Fleetwood Town Community Sports College,73,fleetwood-town-community-sports-college,England,Fleetwood
Hollands & Blair Youth,73,hollands-and-blair-development,Scotland,
Glasgow City U15s NextGen,73,glasgow-city-football-club-5988ae16,Scotland,
Castleford Tigers RLFC,73,castleford-tigers-rlfc,England,
Heston Rovers - VEO 1,73,heston-rovers-fc,England,Heston
East Harling,73,east-harling,England,East Harling
Letchworth Eagles,73,letchworth-garden-city-eagles-fc,England,Letchworth
Epsom & Ewell Colts | Under 15 Royals,73,epsom-ewell-football-club,England,
Hesketh Bank AFC,73,hesketh-bank-afc,England,Hesketh Bank
Bredhurst Juniors,73,bredhurst-juniors,England,Bredhurst
Beckenham RFC,73,beckenham-rfc,England,Rugby Football Club
Beckenham RFC,73,beckenham-rfc,England,Rugby Football Club
Godalming College,73,godalming-college-e0afdddb,England,
Crofts Estate Agents Youth Football League,73,crofts-estate-agents-youth-football-league,England,
Bristol City WFC Academy,72,bristol-city-wfc-academy,England,Bristol
Dewsbury Celtic RLFC,72,dewsbury-celtic-rlfc,England,Dewsbury
Leodiensian RUFC,72,leodiensians,England,
Binfield FC,72,binfield-fc-8f5b5fbe,England,FC
Arsenal,72,benicia-arsenal-fc,England,
Accord Sixth Form,72,accord-sixth-form,England,
Falkirk Foundation,72,falkirk-foundation,Scotland,Falkirk
Birghton District Soccer Club,72,birghton-district-soccer-club-91e6b23e,England,
Glentoran 2012,72,dungoyne-5dadbfc8,Northern Ireland,
Methody Rugby,72,methodist-college-belfast,Northern Ireland,Belfast
Binfield FC,72,binfield-fc-8f5b5fbe,England,FC
Crystal palace foundation academy,72,crystal-palace-foundation-academynorthampton-colle,England,London
DRSC,72,steven-pavlidis,England,Doncaster
Driffield RFC,72,driffield-rfc,England,Driffield
Fairmuir,72,fairmuir-boys-club,Scotland,
Crompton House,72,crompton-house,England,
Ashfield Rugby Union Football Club Limited,72,ashfield-rugby-union-football-club,England,Ashfield
Morley Youth FC,72,morley-youth-fc,England,Morley
Dame Allan's Senior School,72,dame-allans-senior-school,England,Newcastle upon Tyne
Carlisle United Community Sports Trust,72,carlisle-united-community-sports-trust,England,
Bitton,72,bitton,England,Bitton
Brentwood School,72,brentwood-school,England,Brentwood
Coagh United F.C.,72,coagh-united-youth,Northern Ireland,Coagh
Chichester Sharks,72,chichester-sharks-66b4daf1,England,Chichester
Chard RFC,71,chard,England,Chard
Dollard D2M  (YL),71,cheeky-xi,England,
Dundee Rugby,71,dundee-rugby-club-65550035,Scotland,Dundee
Harpole FC,71,harpole-fc,England,Harpole
Burnham-On-Crouch RFC,71,burnham-on-crouch-rugby-football-club,England,Burnham-on-Crouch
Irlam FC,71,irlam-fc-ddb7f764,England,Irlam
Bellshill Athletic Seniors,71,bellshill-athletic-ccf9f247,Scotland,Athletic Seniors
Bradford City AFC,71,bradford-city-afc-women-203b7504,England,Bradford
Dynamos,71,duffield-dynamo,England,
Lichfield RUFC,71,lichfield-rufc,England,Lichfield
Halesowen Town colts,71,keil-sumnall,England,
Beaconsfield Town Football Club,71,beaconsfield-town-football-club-limited,England,
Giggleswick School,71,giggleswick-school,England,
Motherwell Villa AFC,71,motherwell-villa-afc,Scotland,Motherwell
Basingstoke Colts YFC,71,basingstoke-town-colts-yfc,England,
Forest Foundations LTD,71,forest-foundations-ltd,England,
Brentwood RFC,71,brentwood-rfc,England,Brentwood
Bromsgrove Rovers,71,bromsgrove-rovers,England,Bromsgrove
Lichfield RUFC,71,lichfield-rufc,England,Lichfield
Enfield Celtic,71,enfield-celtic,England,Enfield
Epsom HC,70,epsom-hockey-club,England,
Dunfermline Rugby Club,70,dunfermline-rugby-football-club,Scotland,Dunfermline
Monksbrook,70,monksbrook,England,Monksbrook
Cheam,70,cheam-sports-football-club,England,Cheam
Castlemilk Community Football Trust,70,castlemilk-community-football-trust,Scotland,
Bristol Barcelona,70,bristol-barcelona,England,Bristol
Carlisle city,70,carlisle-city-fc,England,
Cambridge City Football Club Limited,70,cambridge-city-ladies-fc,England,Cambridge
Basingstoke Town FC Academy,70,basingstoke-town-fc-academy,England,
Monksbrook,70,monksbrook,England,Monksbrook
Cobham Rugby Club,70,cobham-rugby-sports-association,England,Cobham
Faversham RUFC,70,faversham-rugby-union-football-club,England,Faversham
Gairdoch united 2013s,70,gairdoch-united-2,Scotland,Gairdoch
