Club Name,Recordings,Country,Location,Phones,Emails,Websites,Facebook,Search Queries
Dergview,165,Northern Ireland,,,,,,Dergview Northern Ireland contact phone email; Dergview football club Belfast contact; Dergview NI contact details
Derriaghy,24,Northern Ireland,,,,,,Derriaghy Northern Ireland contact phone email; Derriaghy football club Belfast contact; Derriaghy NI contact details
harps,223,Northern Ireland,,,,,,harps Northern Ireland contact phone email; harps football club Belfast contact; harps NI contact details
Derrygonnelly,40,Northern Ireland,,,,,,Derrygonnelly Northern Ireland contact phone email; Derrygonnelly football club Belfast contact; Derrygonnelly NI contact details
Derrygonnelly harps,11,Northern Ireland,,,,,,Derrygonnelly harps Northern Ireland contact phone email; Derrygonnelly harps football club Belfast contact; Derrygonnelly harps NI contact details
Derrygonnelly Harps,25,Northern Ireland,,,,,,Derrygonnelly Harps Northern Ireland contact phone email; Derrygonnelly Harps football club Belfast contact; Derrygonnelly Harps NI contact details
Derrygonnelly Harps Ladies,14,Northern Ireland,,,,,,Derrygonnelly Harps Ladies Northern Ireland contact phone email; Derrygonnelly Harps Ladies football club Belfast contact; Derrygonnelly Harps Ladies NI contact details
Derrylin,31,Northern Ireland,,,,,,Derrylin Northern Ireland contact phone email; Derrylin football club Belfast contact; Derrylin NI contact details
Desertmartin Football Club,271,Northern Ireland,,,,,,Desertmartin Football Club Northern Ireland contact phone email; Desertmartin Football Club football club Belfast contact; Desertmartin Football Club NI contact details
Devenish,46,Northern Ireland,,,,,,Devenish Northern Ireland contact phone email; Devenish football club Belfast contact; Devenish NI contact details
Crusaders FC,82,Northern Ireland,Belfast,,,,,Crusaders FC Northern Ireland contact phone email; Crusaders FC football club Belfast contact; Crusaders FC NI contact details
Enniskillen Athletic FC,12,Northern Ireland,Enniskillen,,,,,Enniskillen Athletic FC Northern Ireland contact phone email; Enniskillen Athletic FC football club Belfast contact; Enniskillen Athletic FC NI contact details
Enniskillen Gaels,41,Northern Ireland,Enniskillen,,,,,Enniskillen Gaels Northern Ireland contact phone email; Enniskillen Gaels football club Belfast contact; Enniskillen Gaels NI contact details
Enniskillen Royal Grammar School,25,Northern Ireland,Enniskillen,,,,,Enniskillen Royal Grammar School Northern Ireland contact phone email; Enniskillen Royal Grammar School football club Belfast contact; Enniskillen Royal Grammar School NI contact details
Enniskillen Rugby,243,Northern Ireland,Enniskillen,,,,,Enniskillen Rugby Northern Ireland contact phone email; Enniskillen Rugby football club Belfast contact; Enniskillen Rugby NI contact details
Enniskillen Town United,22,Northern Ireland,Enniskillen,,,,,Enniskillen Town United Northern Ireland contact phone email; Enniskillen Town United football club Belfast contact; Enniskillen Town United NI contact details
Augher Stars,21,Northern Ireland,Augher,,,,,Augher Stars Northern Ireland contact phone email; Augher Stars football club Belfast contact; Augher Stars NI contact details
Augher GFC,75,Northern Ireland,Augher,,,,,Augher GFC Northern Ireland contact phone email; Augher GFC football club Belfast contact; Augher GFC NI contact details
Keady Dwyers Senior Men,24,Northern Ireland,Keady,,,,,Keady Dwyers Senior Men Northern Ireland contact phone email; Keady Dwyers Senior Men football club Belfast contact; Keady Dwyers Senior Men NI contact details
Eoghan Rua CLG Coleraine,25,Northern Ireland,Coleraine,,,,,Eoghan Rua CLG Coleraine Northern Ireland contact phone email; Eoghan Rua CLG Coleraine football club Belfast contact; Eoghan Rua CLG Coleraine NI contact details
Cargin,32,Northern Ireland,,,,,,Cargin Northern Ireland contact phone email; Cargin football club Belfast contact; Cargin NI contact details
Lavey,152,Northern Ireland,,,,,,Lavey Northern Ireland contact phone email; Lavey football club Belfast contact; Lavey NI contact details
Erne Gaels,57,Northern Ireland,,,,,,Erne Gaels Northern Ireland contact phone email; Erne Gaels football club Belfast contact; Erne Gaels NI contact details
Erne Wanderers FC,17,Northern Ireland,,,,,,Erne Wanderers FC Northern Ireland contact phone email; Erne Wanderers FC football club Belfast contact; Erne Wanderers FC NI contact details
Glenariffe,38,Northern Ireland,,,,,,Glenariffe Northern Ireland contact phone email; Glenariffe football club Belfast contact; Glenariffe NI contact details
Glenavon FC,196,Northern Ireland,,,,,,Glenavon FC Northern Ireland contact phone email; Glenavon FC football club Belfast contact; Glenavon FC NI contact details
Glengad,56,Northern Ireland,,,,,,Glengad Northern Ireland contact phone email; Glengad football club Belfast contact; Glengad NI contact details
The Glens,105,Northern Ireland,,,,,,The Glens Northern Ireland contact phone email; The Glens football club Belfast contact; The Glens NI contact details
Glens,167,Northern Ireland,,,,,,Glens Northern Ireland contact phone email; Glens football club Belfast contact; Glens NI contact details
Glentoran 2012,72,Northern Ireland,,,,,,Glentoran 2012 Northern Ireland contact phone email; Glentoran 2012 football club Belfast contact; Glentoran 2012 NI contact details
Glentoran Academy,36,Northern Ireland,,,,,,Glentoran Academy Northern Ireland contact phone email; Glentoran Academy football club Belfast contact; Glentoran Academy NI contact details
Glentoran,20,Northern Ireland,,,,,,Glentoran Northern Ireland contact phone email; Glentoran football club Belfast contact; Glentoran NI contact details
Glentoran FC Youth Academy,65,Northern Ireland,,,,,,Glentoran FC Youth Academy Northern Ireland contact phone email; Glentoran FC Youth Academy football club Belfast contact; Glentoran FC Youth Academy NI contact details
Mayobridge GAC,43,Northern Ireland,Mayobridge,,,,,Mayobridge GAC Northern Ireland contact phone email; Mayobridge GAC football club Belfast contact; Mayobridge GAC NI contact details
Methody Girls Hockey,62,Northern Ireland,Belfast,,,,,Methody Girls Hockey Northern Ireland contact phone email; Methody Girls Hockey football club Belfast contact; Methody Girls Hockey NI contact details
Methody Rugby,72,Northern Ireland,Belfast,,,,,Methody Rugby Northern Ireland contact phone email; Methody Rugby football club Belfast contact; Methody Rugby NI contact details
Methodist College Rugby,25,Northern Ireland,Belfast,,,,,Methodist College Rugby Northern Ireland contact phone email; Methodist College Rugby football club Belfast contact; Methodist College Rugby NI contact details
Carniny AYFC,79,Northern Ireland,,,,,,Carniny AYFC Northern Ireland contact phone email; Carniny AYFC football club Belfast contact; Carniny AYFC NI contact details
Carrick Rangers FC,92,Northern Ireland,,,,,,Carrick Rangers FC Northern Ireland contact phone email; Carrick Rangers FC football club Belfast contact; Carrick Rangers FC NI contact details
Carryduff Colts FC,153,Northern Ireland,,,,,,Carryduff Colts FC Northern Ireland contact phone email; Carryduff Colts FC football club Belfast contact; Carryduff Colts FC NI contact details
Castlewellan GAC,53,Northern Ireland,,,,,,Castlewellan GAC Northern Ireland contact phone email; Castlewellan GAC football club Belfast contact; Castlewellan GAC NI contact details
causeway barbarians,163,Northern Ireland,,,,,,causeway barbarians Northern Ireland contact phone email; causeway barbarians football club Belfast contact; causeway barbarians NI contact details
Lurgan College Hockey Club,11,Northern Ireland,Lurgan,,,,,Lurgan College Hockey Club Northern Ireland contact phone email; Lurgan College Hockey Club football club Belfast contact; Lurgan College Hockey Club NI contact details
Lurgan College,80,Northern Ireland,Lurgan,,,,,Lurgan College Northern Ireland contact phone email; Lurgan College football club Belfast contact; Lurgan College NI contact details
Lurgan Hockey Club,10,Northern Ireland,Lurgan,,,,,Lurgan Hockey Club Northern Ireland contact phone email; Lurgan Hockey Club football club Belfast contact; Lurgan Hockey Club NI contact details
Lurgan,64,Northern Ireland,,,,,,Lurgan Northern Ireland contact phone email; Lurgan football club Belfast contact; Lurgan NI contact details
Lurgan Town,126,Northern Ireland,Lurgan,,,,,Lurgan Town Northern Ireland contact phone email; Lurgan Town football club Belfast contact; Lurgan Town NI contact details
Magherafelt sky blues,89,Northern Ireland,Magherafelt,,,,,Magherafelt sky blues Northern Ireland contact phone email; Magherafelt sky blues football club Belfast contact; Magherafelt sky blues NI contact details
Maghera Strollers,87,Northern Ireland,Maghera,,,,,Maghera Strollers Northern Ireland contact phone email; Maghera Strollers football club Belfast contact; Maghera Strollers NI contact details
Maghery Sean Mc Dermotts,47,Northern Ireland,,,,,,Maghery Sean Mc Dermotts Northern Ireland contact phone email; Maghery Sean Mc Dermotts football club Belfast contact; Maghery Sean Mc Dermotts NI contact details
Garvagh Phoenix,59,Northern Ireland,Garvagh,,,,,Garvagh Phoenix Northern Ireland contact phone email; Garvagh Phoenix football club Belfast contact; Garvagh Phoenix NI contact details
Limavady Rugby Club,20,Northern Ireland,Limavady,,,,,Limavady Rugby Club Northern Ireland contact phone email; Limavady Rugby Club football club Belfast contact; Limavady Rugby Club NI contact details
Limvady Grammar School,37,Northern Ireland,Limavady,,,,,Limvady Grammar School Northern Ireland contact phone email; Limvady Grammar School football club Belfast contact; Limvady Grammar School NI contact details
Limavady United FC,156,Northern Ireland,Limavady,,,,,Limavady United FC Northern Ireland contact phone email; Limavady United FC football club Belfast contact; Limavady United FC NI contact details
Limavady Wolfhounds GAC,17,Northern Ireland,Limavady,,,,,Limavady Wolfhounds GAC Northern Ireland contact phone email; Limavady Wolfhounds GAC football club Belfast contact; Limavady Wolfhounds GAC NI contact details
Daisy Hill FC,40,Northern Ireland,Newry,,,,,Daisy Hill FC Northern Ireland contact phone email; Daisy Hill FC football club Belfast contact; Daisy Hill FC NI contact details
Irish FA,120,Northern Ireland,Irish Football Association,,,,,Irish FA Northern Ireland contact phone email; Irish FA football club Belfast contact; Irish FA NI contact details
Irish FA,120,Northern Ireland,Irish Football Association,,,,,Irish FA Northern Ireland contact phone email; Irish FA football club Belfast contact; Irish FA NI contact details
Killyman,32,Northern Ireland,,,,,,Killyman Northern Ireland contact phone email; Killyman football club Belfast contact; Killyman NI contact details
Kinawley Brian Borus,15,Northern Ireland,Kinawley,,,,,Kinawley Brian Borus Northern Ireland contact phone email; Kinawley Brian Borus football club Belfast contact; Kinawley Brian Borus NI contact details
Knockbreda FC,43,Northern Ireland,Belfast,,,,,Knockbreda FC Northern Ireland contact phone email; Knockbreda FC football club Belfast contact; Knockbreda FC NI contact details
Knockbreda FC 2012,93,Northern Ireland,Belfast,,,,,Knockbreda FC 2012 Northern Ireland contact phone email; Knockbreda FC 2012 football club Belfast contact; Knockbreda FC 2012 NI contact details
Brookeborough Heber Mac Mahons GAC,33,Northern Ireland,Brookeborough,,,,,Brookeborough Heber Mac Mahons GAC Northern Ireland contact phone email; Brookeborough Heber Mac Mahons GAC football club Belfast contact; Brookeborough Heber Mac Mahons GAC NI contact details
Bryansburn,43,Northern Ireland,Bryansburn,,,,,Bryansburn Northern Ireland contact phone email; Bryansburn football club Belfast contact; Bryansburn NI contact details
Bryansford GAC,40,Northern Ireland,Bryansford,,,,,Bryansford GAC Northern Ireland contact phone email; Bryansford GAC football club Belfast contact; Bryansford GAC NI contact details
Malone Panthers 5th/6th Gray,12,Northern Ireland,Belfast (likely),,,,,Malone Panthers 5th/6th Gray Northern Ireland contact phone email; Malone Panthers 5th/6th Gray football club Belfast contact; Malone Panthers 5th/6th Gray NI contact details
Malone RFC,36,Northern Ireland,Belfast (likely),,,,,Malone RFC Northern Ireland contact phone email; Malone RFC football club Belfast contact; Malone RFC NI contact details
Belnaleck GAC,58,Northern Ireland,Gaelic Athletic Club,,,,,Belnaleck GAC Northern Ireland contact phone email; Belnaleck GAC football club Belfast contact; Belnaleck GAC NI contact details
Belcoo,53,Northern Ireland,,,,,,Belcoo Northern Ireland contact phone email; Belcoo football club Belfast contact; Belcoo NI contact details
Belfast Celtic,37,Northern Ireland,Celtic,,,,,Belfast Celtic Northern Ireland contact phone email; Belfast Celtic football club Belfast contact; Belfast Celtic NI contact details
Rugby Academy,160,Northern Ireland,Rugby Academy,,,,,Rugby Academy Northern Ireland contact phone email; Rugby Academy football club Belfast contact; Rugby Academy NI contact details
Belfast Ravens,95,Northern Ireland,Ravens,,,,,Belfast Ravens Northern Ireland contact phone email; Belfast Ravens football club Belfast contact; Belfast Ravens NI contact details
Belfast Royal Academy,13,Northern Ireland,Royal Academy,,,,,Belfast Royal Academy Northern Ireland contact phone email; Belfast Royal Academy football club Belfast contact; Belfast Royal Academy NI contact details
Belfast,12,Northern Ireland,,,,,,Belfast Northern Ireland contact phone email; Belfast football club Belfast contact; Belfast NI contact details
BELLAGHY WOLFE TONES GAA,29,Northern Ireland,GAA,,,,,BELLAGHY WOLFE TONES GAA Northern Ireland contact phone email; BELLAGHY WOLFE TONES GAA football club Belfast contact; BELLAGHY WOLFE TONES GAA NI contact details
Belleek GAA,18,Northern Ireland,Gaelic Athletic Association,,,,,Belleek GAA Northern Ireland contact phone email; Belleek GAA football club Belfast contact; Belleek GAA NI contact details
Benburb FC,27,Northern Ireland,Football Club,,,,,Benburb FC Northern Ireland contact phone email; Benburb FC football club Belfast contact; Benburb FC NI contact details
Beragh Red Knights,45,Northern Ireland,Red Knights,,,,,Beragh Red Knights Northern Ireland contact phone email; Beragh Red Knights football club Belfast contact; Beragh Red Knights NI contact details
Beragh Swifts,86,Northern Ireland,Swifts,,,,,Beragh Swifts Northern Ireland contact phone email; Beragh Swifts football club Belfast contact; Beragh Swifts NI contact details
Faughanvale,102,Northern Ireland,Faughanvale,,,,,Faughanvale Northern Ireland contact phone email; Faughanvale football club Belfast contact; Faughanvale NI contact details
FC Antrim,101,Northern Ireland,Antrim,,,,,FC Antrim Northern Ireland contact phone email; FC Antrim football club Belfast contact; FC Antrim NI contact details
Larne fc,18,Northern Ireland,,,,,,Larne fc Northern Ireland contact phone email; Larne fc football club Belfast contact; Larne fc NI contact details
Larne FC,131,Northern Ireland,,,,,,Larne FC Northern Ireland contact phone email; Larne FC football club Belfast contact; Larne FC NI contact details
Larne FC,131,Northern Ireland,,,,,,Larne FC Northern Ireland contact phone email; Larne FC football club Belfast contact; Larne FC NI contact details
Larne Grammar School,21,Northern Ireland,Grammar School,,,,,Larne Grammar School Northern Ireland contact phone email; Larne Grammar School football club Belfast contact; Larne Grammar School NI contact details
Larne RFC,51,Northern Ireland,Rugby Football Club,,,,,Larne RFC Northern Ireland contact phone email; Larne RFC football club Belfast contact; Larne RFC NI contact details
