Club Name,Phones,Emails,Website,Facebook,Twitter,Instagram,YouTube
3 & D Hoops,,dave@3andD.orgCOACHING; tim@3andD.org,https://www.3andd.org/,,,,
Ajax,07538336033 (sc-ifAKCX | jSSfay | contact-page | Ian Charlton | Vice Chairman | Email); 07912313278 (sc-ifAKCX | jSSfay | contact-page | Matthew Welton | Vice Chairman | Email); 07785344173 (sc-ifAKCX | jSSfay | contact-page | Colin Corby | Treasurer | Email); 07785344173 (sc-ifAKCX | jSSfay | contact-page | Colin Corby | Treasurer | Email); 07865047354 (sc-ifAKCX | jSSfay | contact-page | Robert Mckenzie | Football Development Officer | Email); 07555323880 (sc-ifAKCX | jSSfay | contact-page | Steve Bunn | Kit Manager | 07581 174913); 07568511384 (sc-ifAKCX | jSSfay | contact-page | Dave Shield | Under 15s Team Manager | Email); 07905124929 (sc-ifAKCX | jSSfay | contact-page | Craig Foster | Under 14s Juniors Team Manager | 07568511384); 07538336033 (sc-ifAKCX | jSSfay | contact-page | Ian Charlton | Vice Chairman | Email); 07814032999 (sc-ifAKCX | jSSfay | contact-page | Mark Robbins | Mens Reserves Team Manager | Email); 07912313278 (sc-ifAKCX | jSSfay | contact-page | Matthew Welton | Vice Chairman | Email); 07834801415 (sc-ifAKCX | jSSfay | contact-page | Mark Vaughan | Under 16s Assistant Manager | Email); 0753833603 (sc-ifAKCX | jSSfay | contact-page | Ian Charlton | Vice Chairman | Email); 0791231327 (sc-ifAKCX | jSSfay | contact-page | Matthew Welton | Vice Chairman | Email); 0778534417 (sc-ifAKCX | jSSfay | contact-page | Colin Corby | Treasurer | Email); 0778534417 (sc-ifAKCX | jSSfay | contact-page | Colin Corby | Treasurer | Email); 0786504735 (sc-ifAKCX | jSSfay | contact-page | Robert Mckenzie | Football Development Officer | Email); 0755532388 (sc-ifAKCX | jSSfay | contact-page | Steve Bunn | Kit Manager | 07581 174913); 0756851138 (sc-ifAKCX | jSSfay | contact-page | Dave Shield | Under 15s Team Manager | Email); 0790512492 (sc-ifAKCX | jSSfay | contact-page | Craig Foster | Under 14s Juniors Team Manager | 07568511384); 0753833603 (sc-ifAKCX | jSSfay | contact-page | Ian Charlton | Vice Chairman | Email); 0781403299 (sc-ifAKCX | jSSfay | contact-page | Mark Robbins | Mens Reserves Team Manager | Email); 0791231327 (sc-ifAKCX | jSSfay | contact-page | Matthew Welton | Vice Chairman | Email); 0783480141 (sc-ifAKCX | jSSfay | contact-page | Mark Vaughan | Under 16s Assistant Manager | Email),info@centralajaxfc.co.ukView,https://www.centralajaxfc.co.uk/contact,,,,
Älvsjö AIK,1737677344 (Access Denied | Access Denied); 1737677344 (Access Denied | Access Denied),,https://uk.soccerway.com/teams/sweden/alvsjo-aik-fotbollforening/7817/,,,,
ALBION SC San Diego,(858) 200-7992 (General),jenelle@albionscsandiego.org,https://www.albionsoccer.org/contact-us,,,,
AaB,8968233603 (General); 5790002523 (footerContact | 10998530 | CVR-nr.:),billet@aab-as.dk; tbo@aab-as.dk; aab@aab-as.dk,https://aabsport.dk/om-aab/kontakt/,,,,
1G PERFORMANCE,,1g.performance.asso@gmail.com,https://www.1gperformance.academy/,,,,
Rayo Vallecano,,seguridad@rayovallecano.es; marketing@rayovallecano.es; contabilidad@rayovallecano.es; administracion@rayovallecano.es; mantenimiento@rayovallecano.es; juridico@rayovallecano.es; informacion@fundacionrayovallecano.es; prensa@rayovallecano.es; secretariatecnica@rayovallecano.es,https://www.rayovallecano.es/datos-del-club,,,,
City Sporting Club,07725421567 (Phone); 0772542156 (Phone),,https://belfastceltic.ie/,,,,
ALBION SC Hawaii,(808) 212-9611 (General),admin@albionschawaii.org; joy.gayton@albionschawaii.org,https://www.albionschawaii.org/contact-us-albion-hawaii,,,,
AAYSA,410-212-7296 (clubmanager@daagators.org); 240-731-0326 (eastcoastinsul@hotmail.com); 443-926-6160 (Robert.Talcovitz@verizon.net); 443-816-8960 (spgh.soccer@gmail.com); 443-848-3040 (tim@harundalesoccer.com); 401-359-6625 (coachk.roma11@gmail.com); 410-591-0619 (tinataylor1808@gmail.com); 240-639-2492 (coachpete82@gmail.com); 240-330-3228 (rubencastro2007@yahoo.com); 301-575-7807 (mpenarrieta9@gmail.com); 301-254-7946 (dpws@aol.com); 443-205-3757 (mesc.executivedirector@gmail.com); 410-562-0951 (pat.noel@mdunitedfc.org); 410-802-1174 (msladesoccer@gmail.com); 410-375-8806 (jfisher@michaelgraves.com); 301-717-3033 (cvdavids@verizon.net); 301-873-3188 (severnsoccer1@gmail.com); 516-639-7360 (boyssoccer@scyasports.org); 410-570-3380 (mccla21@yahoo.com); 410-570-3380 (mccla21@yahoo.com); 410-212-7296 (clubmanager@daagators.org); 301-538-7902 (General); 410-255-1052 (kpiergrossi@gmail.com); 410-375-8806 (jfisher@michaelgraves.com); 443-994-5438 (cacconyers@gmail.com),tinataylor1808@gmail.com; boyssoccer@scyasports.org; kpiergrossi@gmail.com; hegewisch@a3soccer.com; eir80@hotmail.com; countysoccerdirector@broadneckyouthsports.com; jbraz77@gmail.com; mike.g.burns@gmail.com; gmedgas@gmail.com; pat.noel@mdunitedfc.org; hernandez.katherine0615@gmail.com; tim@harundalesoccer.com; Christopher.harmon@uspto.gov; admin@annapolissoccerclub.com; mesc.executivedirector@gmail.com; Fermincenteno2013@gmail.com; jamie@sportsoffice365.com; sean@ardenrecreation.org; secretary.bayshoresc@gmail.com; danesa85@yahoo.com; clubmanager@daagators.org; mpenarrieta9@gmail.com; girlssoccer@scyasports.org; countysoccer@daagators.org; coachpete82@gmail.com; sheridan.hagler@gmail.com; melvinperezz10@gmail.com; rconrad1099@yahoo.com; spgh.soccer@gmail.com; msladesoccer@gmail.com; severnsoccer1@gmail.com; rubencastro2007@yahoo.com; Janel.busa@gmail.com; agamez16@gmail.com; etobe@a3soccer.com; coachk.roma11@gmail.com; sjesjaasoccer@gmail.com; hubbard4242@gmail.com; cacconyers@gmail.com; erik.petkovic@gmail.com; dmvmarksmen@gmail.com; joelmusa2@yahoo.com; mccla21@yahoo.com; Robert.Talcovitz@verizon.net; gboyer.asa@gmail.com; cronekobe@gmail.com; soccer@broadneckyouthsports.com; jorge@harundalesoccer.com; mduodu3@gmail.com; asstsoccercommissioner@broadneckyouthsports.com; asebring09@gmail.com; aaysasoccer@gmail.com; capestclairehoops@gmail.com; stephonmedlock@yahoo.com; mljones@stmarysannapolis.org; dpws@aol.com; mal6one@hotmail.com; beltsvillesocceracademy@gmail.com; asccounty@annapolissoccerclub.com; cvdavids@verizon.net; jfisher@michaelgraves.com; eastcoastinsul@hotmail.com,http://www.aaysasoccer.org/club-contacts/,,,,
AC Horsens,4548884825 ([email protected] | [email protected]); 4523815011 ([email protected]); 4530665855 ([email protected]); 4521125248 ([email protected]); 4575626020 (Hovedtelefon:),,https://achorsens.dk/info/kontakt,,,,
ABHA CLUB,,info@saff.com.sa,https://www.saff.com.sa/en/team.php?id=125,,,,
AEL LIMASSOL,01310173540 (General); 592234-1220 (General); 4015916616 (General); 4013101735 (General); 3214513433 (General); 3621510583 (General); 782729-2312 (General); 3217411494 (General); 3617712473 (General); 3619985336 (General); 3614715384 (General); 3291211424 (General),info@ael-fc.comManager,https://www.soccerassociation.com/cgi-bin/info.cgi?39/1692/ael,,,,
AEK,,info@aekfc.gr; lawoffice@aekfc.gr; tickets@aekfc.gr; stadium@aekfc.gr; commercial@aekfc.gr; pressoffice@aekfc.gr,https://www.aekfc.gr/d/epikoinonia-121278.htm?lang=en&path=1907911086,,,,
ALBION SC Riverside,(951) 297-7251 (General),info@albionscriverside.org,https://albionscriverside.org/contact-us,,,,
0. TORNEOMANIA EYEBALL,,partnerships@eyeball.club; amateur.sales@eyeball.clubSales; gdpr@eyeball.clubSafeguarding; hello@eyeball.clubData; agencies.sales@eyeball.club; elite.sales@eyeball.clubSales; press@eyeball.clubGeneral; safeguarding@eyeball.club,https://www.eyeball.club/contacts/,,,,
AFC Sudbury,07553599030 (sc-ifAKCX | jSSfay | contact-page | Ashley Webb | Webmaster | Email); 07553599030 (sc-ifAKCX | jSSfay | contact-page | Ashley Webb | Webmaster | Email); 07730526050 (sc-ifAKCX | jSSfay | contact-page | Julie Swanwick | Partnerships  Sponsorships Manager | 07553599030); 07905857587 (sc-ifAKCX | jSSfay | contact-page | Tommy Crofton | Volunteer | Dan Freeman); 0755359903 (sc-ifAKCX | jSSfay | contact-page | Ashley Webb | Webmaster | Email); 0755359903 (sc-ifAKCX | jSSfay | contact-page | Ashley Webb | Webmaster | Email); 0773052605 (sc-ifAKCX | jSSfay | contact-page | Julie Swanwick | Partnerships  Sponsorships Manager | 07553599030); 0790585758 (sc-ifAKCX | jSSfay | contact-page | Tommy Crofton | Volunteer | Dan Freeman),secretary@afcsudbury.co.ukView,https://www.afcsudbury.co.uk/contact,,,,
ALBION SC Nashville,(615) 637-0774 (General),info@albionscnashville.org,https://albionscnashville.org/contact-us,,,,
Aisling Annacotty AFC,,complaints@ailsingannacotty.com; info@aislingannacotty.com,http://aislingannacotty.com/contact/,,,,
AC Connecticut,(203) 270-3316 (General),,https://www.acconnecticut.com/contactus,,,,
Ajax,07538336033 (sc-ifAKCX | jSSfay | contact-page | Ian Charlton | Vice Chairman | Email); 07912313278 (sc-ifAKCX | jSSfay | contact-page | Matthew Welton | Vice Chairman | Email); 07785344173 (sc-ifAKCX | jSSfay | contact-page | Colin Corby | Treasurer | Email); 07785344173 (sc-ifAKCX | jSSfay | contact-page | Colin Corby | Treasurer | Email); 07865047354 (sc-ifAKCX | jSSfay | contact-page | Robert Mckenzie | Football Development Officer | Email); 07555323880 (sc-ifAKCX | jSSfay | contact-page | Steve Bunn | Kit Manager | 07581 174913); 07568511384 (sc-ifAKCX | jSSfay | contact-page | Dave Shield | Under 15s Team Manager | Email); 07905124929 (sc-ifAKCX | jSSfay | contact-page | Craig Foster | Under 14s Juniors Team Manager | 07568511384); 07538336033 (sc-ifAKCX | jSSfay | contact-page | Ian Charlton | Vice Chairman | Email); 07814032999 (sc-ifAKCX | jSSfay | contact-page | Mark Robbins | Mens Reserves Team Manager | Email); 07912313278 (sc-ifAKCX | jSSfay | contact-page | Matthew Welton | Vice Chairman | Email); 07834801415 (sc-ifAKCX | jSSfay | contact-page | Mark Vaughan | Under 16s Assistant Manager | Email); 0753833603 (sc-ifAKCX | jSSfay | contact-page | Ian Charlton | Vice Chairman | Email); 0791231327 (sc-ifAKCX | jSSfay | contact-page | Matthew Welton | Vice Chairman | Email); 0778534417 (sc-ifAKCX | jSSfay | contact-page | Colin Corby | Treasurer | Email); 0778534417 (sc-ifAKCX | jSSfay | contact-page | Colin Corby | Treasurer | Email); 0786504735 (sc-ifAKCX | jSSfay | contact-page | Robert Mckenzie | Football Development Officer | Email); 0755532388 (sc-ifAKCX | jSSfay | contact-page | Steve Bunn | Kit Manager | 07581 174913); 0756851138 (sc-ifAKCX | jSSfay | contact-page | Dave Shield | Under 15s Team Manager | Email); 0790512492 (sc-ifAKCX | jSSfay | contact-page | Craig Foster | Under 14s Juniors Team Manager | 07568511384); 0753833603 (sc-ifAKCX | jSSfay | contact-page | Ian Charlton | Vice Chairman | Email); 0781403299 (sc-ifAKCX | jSSfay | contact-page | Mark Robbins | Mens Reserves Team Manager | Email); 0791231327 (sc-ifAKCX | jSSfay | contact-page | Matthew Welton | Vice Chairman | Email); 0783480141 (sc-ifAKCX | jSSfay | contact-page | Mark Vaughan | Under 16s Assistant Manager | Email),info@centralajaxfc.co.ukView,https://www.centralajaxfc.co.uk/contact,,,,
Tottenham Hotspur Football & Athletic CO. LTD,0344 499 5000 (N17 0BX | London); 344 499 5000 (N17 0BX | London),,https://www.tottenhamhotspur.com/information/contact-us/,,,,
Albion,,SLO@wbafc.co.uk,https://www.wba.co.uk/form/contact,,,,
フウガドールすみだ,,info@fuga-futsal.com,http://www.fuga-futsal.com/contact,,,,
Altona Magic Soccer Club,,npl@altonamagic.com.au; secretary@altonamagic.com.au; miniroos@altonamagic.com.au; altonamagic@hotmail.com,https://www.altonamagic.com.au/contact/,,,,
AB Tårnby,1737677449 (Access Denied | Access Denied); 1737677449 (Access Denied | Access Denied),,https://uk.soccerway.com/teams/denmark/ab-tarnby/13378/,,,,
Abinsay FC,,commercial@afc.co.uk; contact@afc.co.uk; customerservices@performgroup.com; ticketoffice@afc.co.uk; feedback@afcheritage.org,https://www.afc.co.uk/2013/06/29/contact-us/,,,,
Al Rayyan,1234567891 (General),,https://www.qfa.qa/al-rayyan-club/,,,,
UoB Sports,0121 415 9990 (Contact); 121 415 9990 (Contact),,https://www.guildofstudents.com/organisation/sportsclubs/,,,,
Alliance FC,,alliancefcldn@gmail.com,https://www.alliancefcldn.com/contactinfo,,,,
Alleycats,,alleycatsoccer@gmail.com,https://www.alleycatsoccer.com/contact-us,,,,
Aab af 1885,1737677472 (Access Denied | Access Denied); 1737677472 (Access Denied | Access Denied),,https://uk.soccerway.com/teams/denmark/aalborg-bk/602/,,,,
Alhilal Club Company,"00989035422 (Saturday 27 November, 2021 10:52 pm | Saturday 27 November, 2021 10:52 pm); 0098903542 (Saturday 27 November, 2021 10:52 pm | Saturday 27 November, 2021 10:52 pm)",info@alhilal.com,https://m.eyeofriyadh.com/directory/details/8351_al-hilal-saudi-club,,,,
Team Chang,1142181751 (Chang–Everton Football Academy - Wikipedia | Chang–Everton Football Academy - Wikipedia),,https://en.wikipedia.org/wiki/Chang%E2%80%93Everton_Football_Academy,,,,
AM,,info@amsoccerclub.orgSCROLL,https://www.amsoccerclub.org/,,,,
AFC Knowsley,,enquiries@afcknowsley.co.uk,https://afcknowsley.co.uk/club-contacts/,,,,
AaB kvinde/pige afd.,1176436813 (AaB Fodbold (women) - Wikipedia | AaB Fodbold (women) - Wikipedia),,https://en.wikipedia.org/wiki/AaB_Fodbold_(women),,,,
Ames Soccer Club,,ollie.johnston@amessoccer.org; matt.laczniak@amessoccer.org; gary.eyles@amessoccer.org; nick.kyras@amessoccer.org,https://amessoccer.org/contact,,,,
Allbrads,0333 323 1884; 01332 667528; 871 472 1884 (CLUB CONTACTS | CLUB CONTACTS | .); 333 011 0452 ((opt 1) | * | 0871 472 1884); 871 472 1884 (CLUB CONTACTS | CLUB CONTACTS); 01332 667544; 0333 011 0452 ((opt 1) | *); 0871 472 1884 (CLUB CONTACTS | CLUB CONTACTS); 0333 011 0452 ((opt 1) | * | 0871 472 1884); 0871 472 1884 (CLUB CONTACTS | CLUB CONTACTS | .); 333 011 0452 ((opt 1) | *),,https://www.dcfc.co.uk/page/contact-us,,,,
Agawam Basketball Association,413-726-9700; (413) 821-0600; 413-726-9716; 413-786-7508; 413-786-2194; 413-726-9754; 413-821-0600; 413-726-9742; 413-789-1550; 413-821-0506; 413-821-0514; 413-821-0632; 413-786-0657; 413-726-9727; 413-786-0400; 413-821-0605; 413-786-4767; 413-786-2662; 413-821-0631; 413-821-0513; 413-786-6925,,https://www.agawam.ma.us/255/Parks-Recreation,https://www.facebook.com/groups/agawambasketball/,,,
.,,media@crusadersfc.com; generalmanager@crusadersfc.com,https://crusadersfootballclub.com/contact,,,,
Alicante Football Academy,3465628899 (General),info@alicantefootballacademy.com,https://alicantefootballacademy.com/,,,,
Rise,561-285-1014 (contact-us-content | Phone: | support@risefc.com | Email:),support@risefc.com,https://www.risefc.com/contact_us,,,,
FC BACAU,,fcbacau@gmail.com,https://fcbacau.ro/contact-page/,,,,
Amman FC,05239903699; 1880366251; 1880370235; 1880523990; 03662510061; 03702357375,rhodrijones@btconnect.com,https://ammanfordafc.co.uk/contact-2/,https://www.facebook.com/2154223004672416,,,
ALBION CV,,SLO@wbafc.co.uk,https://www.wba.co.uk/form/contact,,,,
Alvarado FC,(223) 472-1611,info@transfermarkt.de; bugs@transfermarkt.de; community@transfermarkt.com; sales@transfermarkt.com; jobs@transfermarkt.de; agent@transfermarkt.com; redaktion@transfermarkt.de; press@transfermarkt.com,https://www.transfermarkt.co.uk/ca-alvarado/startseite/verein/12563,,,,
AFC Stoneham,"07841 696579 (Stoneham Lane Football Complex, Stoneham Lane, Eastleigh, Hampshire, SO16 2PA, United Kingdom | Back to Top); 07528 882793; 07941 611734; 07533 958356; 07531 965755; 07415 973465; 07525 263563; 07710197534; 07881 504700; 07747 096943; 07748 301267; 07841696579; 07747 011966",lucymair34@icloud.com; treasurer@afcstoneham.co.uk; kit@afcstoneham.co.uk; twheelerafcsl@gmail.com; veal@sky.comScott; jo.selway@gmail.com; tournament@afcstoneham.co.ukScott; socialmedia@afcstoneham.co.uk; lizsmith405@gmail.comHelen; hlmaguire@hotmail.co.ukJudy; chairman@afcstoneham.co.uk; tyrosecretary@afcstoneham.co.uk; 696579chairman@afcstoneham.co.uk; secretary@afcstoneham.co.uk,https://www.afcstoneham.co.uk/contact-us,,,,
AB,,contact@afc.co.uk,https://www.afc.co.uk/club/about-us/contact-us/,,,,
3D,,FCsaddleworth3ds.secretary@gmail.com,https://saddleworth3ds.club/,https://www.facebook.com/knockbredafc/,,,
Right to Dream,100101-2002 (General),,https://www.lusha.com/business/a3441982323a77fc/,https://www.facebook.com/p/Right-To-Dream-Academy-61558488972369/?locale=en_GB,,,
Aggies FC,435-770-1478,aggiesfcsoccer@gmail.com,https://www.aggiesfc.com/,,,,
ACBB Rugby,,acbb-rugby@orange.fr; club@acbb.fr,https://www.acbb.fr/rugby/,,,,
801 Basketball,,niamh@basketballni.com; governance@basketballni.com; lauren@basketballni.com; competitions@basketballni.com; safeguarding@basketballni.com; andrew@basketballni.com; secretary@basketballni.com,https://basketballni.com/clubs/registered-clubs/,,,,
Alpine Strikers FC,(310) 709-5312,,https://www.sportsengine.com/org/alpine-strikers-fc,https://www.facebook.com/p/Alpine-Strikers-FC-100069308332009/,,,
