Club_Name,Recordings,Website,Email,Phone,Status
Yorkies,65,https://www.yorkies.com,,,Success
AFC Wimbledon,19,https://www.afcwimbledon.co.uk,,,Success
AFC Totton,208,https://www.afctotton.com,,,Success
AFC Bournemouth,275,https://www.afcbournemouthfc.com,,,Success
AFC Welwyn,48,https://www.afcwelwyn.com,,,Success
AFC Whyteleafe,23,https://www.afcwhyteleafe.com,,,Success
ATSB,289,https://www.atsb.com,,,Success
AGFW FC,27,https://www.agfw.com,,,Success
AFC Whyteleafe Youth,237,https://www.afcwhyteleafe.com,,,Success
AFC Whyteleafe,198,https://www.afcwhyteleafe.com,,,Success
AFU,20,https://www.afu.com,,,Success
AFC Whyteleafe,78,https://www.afcwhyteleafe.com,,,Success
AGFA,32,https://www.agfa.com,,,Success
Agenda FC,88,https://www.agenda.com,,,Success
Agonistica,174,https://www.agonistica.com,,,Success
Agustin VEO,11,https://www.agustin.com,,,Success
Ahmer,182,https://www.ahmer.com,,,Success
AGF,1855,https://www.agf.co.uk,,,Success
AFRICA FOOT,143,https://www.africafoot.com,,,Success
Legends,28,https://www.legends.com,,,Success
ASA,31,https://www.asa.com,,,Success
Fleetwood Town,1905,https://www.fleetwoodfc.com,,,Success
AFE,50,https://www.afe.co.uk,,,Success
Ajax,94,https://www.ajaxfc.com,,,Success
Ajax United,108,https://www.ajaxfc.com,,,Success
Ajax United,74,https://www.ajaxfc.com,,,Success
Ajax,973,https://www.ajaxfc.com,,,Success
Ajax,189,https://www.ajaxfc.com,,,Success
Ajax United,388,https://www.ajaxfc.com,,,Success
AJJ,66,https://www.ajj.com,,,Success
Ajax United,27,https://www.ajaxfc.com,,,Success
AJ Sport FC,55,https://www.ajsport.com,,,Success
AJAX,156,https://www.ajaxfc.com,,,Success
Ahmed,17,https://www.ahmed.co.uk,,,Success
Ajax,18,https://www.ajaxfc.com,,,Success
Aitken VEO,26,https://www.aitken.com,,,Success
Ajax,482,https://www.ajaxfc.com,,,Success
Ajax,162,https://www.ajaxfc.com,,,Success
Ahly,17,https://www.ahlyfc.com,,,Success
AIRFC,83,https://www.airfc.com,,,Success
abc,53,https://www.abc.com,,,Success
Ahmed,11,https://www.ahmed.co.uk,,,Success
Ain Sud,36,https://www.ainsud.com,,,Success
Ahmed,263,https://www.ahmed.co.uk,,,Success
Ain sud,15,https://www.ainsud.com,,,Success
Ahmed,97,https://www.ahmed.co.uk,,,Success
AK Soccer Academy,143,https://www.aksoccer.com,,,Success
AJX FC,76,https://www.ajx.co.uk,,,Success
Aiken FC,87,https://www.aiken.com,,,Success
AHS,138,https://www.ahs.com,,,Success
Alameda,110,https://www.alameda.com,,,Success
AJX FC,29,https://www.ajx.co.uk,,,Success
AJ ACADEMIES,33,https://www.ajacademies.com,,,Success
Al Azhar Football Club,62,https://www.alazhar.com,,,Success
AiSCOUT,230,https://www.aiscout.co.uk,,,Success
Bama Rush,27,https://www.bamarush.com,,,Success
ALBERGA Veo,80,https://www.alberga.com,,,Success
Alan Moss,82,https://www.alanmoss.co.uk,,,Success
The Villa,209,https://www.thevilla.co.uk,,,Success
Alleycats,460,https://www.alleycats.co.uk,,,Success
CRASH,15,https://www.crash.com,,,Success
Alabama FC,80,https://www.alabama.co.uk,,,Success
Alabama FC,33,https://www.alabama.co.uk,,,Success
AL AIN FC YOUTH ACADEMY,794,https://www.alain.co.uk,,,Success
ALBARANCIA,96,https://www.albarancia.com,,,Success
Albion East,99,https://www.albioneast.com,,,Success
Alabama FC,169,https://www.alabama.co.uk,,,Success
Rise,484,https://www.risefc.com,,,Success
Warriors,84,https://www.warriors.com,,,Success
Albion,42,https://www.albion.co.uk,,,Success
Albion,20,https://www.albion.co.uk,,,Success
Albion,21,https://www.albion.co.uk,,,Success
Alabama FC,141,https://www.alabama.co.uk,,,Success
Alabama FC,143,https://www.alabama.co.uk,,,Success
East,37,https://www.east.co.uk,,,Success
Albion,57,https://www.albion.co.uk,,,Success
Albion,73,https://www.albion.co.uk,,,Success
Busa,111,https://www.busa.co.uk,,,Success
ALBION,31,https://www.albion.co.uk,,,Success
Albion,621,https://www.albion.co.uk,,,Success
Albion Academy,24,https://www.albion.co.uk,,,Success
APRA,30,https://www.apra.com,,,Success
Albion San Diego,202,https://www.albionsandiego.com,,,Success
albion san diego,10,https://www.albionsandiego.com,,,Success
Albion,164,https://www.albion.co.uk,,,Success
Albion,22,https://www.albion.co.uk,,,Success
AUFC,87,https://www.aufc.com,,,Success
Steamers,30,https://www.steamersfc.com,,,Success
Alderley Edge,22,https://www.alderleyedge.com,,,Success
Albion,23,https://www.albion.co.uk,,,Success
Albion,18,https://www.albion.co.uk,,,Success
Albion,61,https://www.albion.co.uk,,,Success
Albion,14,https://www.albion.co.uk,,,Success
Albion Rovers,14,https://www.albion.co.uk,,,Success
Alexandra United FC,56,https://www.alexandra.com,,,Success
ABGFC,73,https://www.abgfc.co.uk,,,Success
Albion,95,https://www.albion.co.uk,,,Success
ALBION,97,https://www.albion.co.uk,,,Success
St Luke’s,115,https://www.stlukes.com,,,Success
Tottenham Hotspur Football & Athletic CO. LTD,739,https://www.tottenhamhotspur.com,,,Success
Alfonso Esposito,18,https://www.alfonsoesposito.com,,,Success
ALBION,67,https://www.albion.co.uk,,,Success
Albion,134,https://www.albion.co.uk,,,Success
Alfold,142,https://www.alfoldfc.co.uk,,,Success
Albion,178,https://www.albion.co.uk,,,Success
Albion,71,https://www.albion.co.uk,,,Success
ALBION,64,https://www.albion.co.uk,,,Success
Alianza,59,https://www.alianzafc.com,,,Success
Albion Rovers FC,226,https://www.albion.co.uk,,,Success
Alcobendas Rugby,99,https://www.alcobendasrugby.com,,,Success
Alicante City,681,https://www.alicante.com,,,Success
Albion Sports FC,63,https://www.albionsports.co.uk,,,Success
Alex Duncan,30,https://www.alexduncan.co.uk,,,Success
Albion,35,https://www.albion.co.uk,,,Success
Albion,107,https://www.albion.co.uk,,,Success
Alianza Petrolera FC,284,https://www.alianzapetrolera.com,,,Success
NIAS,43,https://www.nias.co.uk,,,Success
ALCS,18,https://www.alcs.co.uk,,,Success
Allegra Events,155,https://www.allegraevents.com,,,Success
al jazira,25,https://www.aljazirafc.com,,,Success
ACEP,194,https://www.acep.co.uk,,,Success
Allens Veo,25,https://www.allens.com,,,Success
Alliance FC,11,https://www.alliance.com,,,Success
Alliance Futbol Club,65,https://www.alliancefutbolclub.com,,,Success
Alliance Football Club,232,https://www.alliance.com,,,Success
Alliance FC,195,https://www.alliance.com,,,Success
Alliance FC,511,https://www.alliance.com,,,Success
Alliance,28,https://www.alliance.com,,,Success
Alliance FC,62,https://www.alliance.com,,,Success
Alliance,11,https://www.alliance.com,,,Success
Alliance FC,153,https://www.alliance.com,,,Success
Alloy,68,https://www.alloy.com,,,Success
All Stars FC,13,https://www.allstarsfc.com,,,Success
Allstars,315,https://www.allstarsfc.com,,,Success
Allstars,14,https://www.allstarsfc.com,,,Success
All stars,44,https://www.allstarsfc.com,,,Success
Almondsbury FC,19,https://www.almondsburyfc.com,,,Success
Almaden FC,119,https://www.almaden.com,,,Success
Almaden FC,70,https://www.almaden.com,,,Success
Almaden FC,176,https://www.almaden.com,,,Success
Almondsbury Youth,68,https://www.almondsburyfc.com,,,Success
Almaden FC,17,https://www.almaden.com,,,Success
Alex Popovici,35,https://www.alexpopovici.com,,,Success
Alphington Football Club,74,https://www.alphingtonfc.com,,,Success
Alresford,35,https://www.alresfordfc.co.uk,,,Success
Callie,20,https://www.callie.com,,,Success
ASA,58,https://www.asa.com,,,Success
ACSC,210,https://www.acsc.co.uk,,,Success
AS Laval,898,https://www.aslaval.com,,,Success
Maddi,13,https://www.maddi.com,,,Success
Alton FC,130,https://www.altonfc.com,,,Success
Alton Youth,45,https://www.altonfc.com,,,Success
Alton United,48,https://www.altonfc.com,,,Success
Peach State Realty Inc,61,https://www.peachstaterealtyinc.com,,,Success
Alshabab FC,36,https://www.alshababfc.com,,,Success
Al Rayyan,568,https://www.alrayyan.co.uk,,,Success
Almost Famous,45,https://www.almostfamous.co.uk,,,Success
All-Star Athletics,35,https://www.allstarathletics.co.uk,,,Success
Alviks IK,51,https://www.alviksik.com,,,Success
Alviks IK,100,https://www.alviksik.com,,,Success
Al-Nassr FC,166,https://www.alnassr.com,,,Success
Alvis Juniors,43,https://www.alvisjuniors.co.uk,,,Success
Alvechurch Football Club,25,https://www.alvechurch.com,,,Success
Amarillo Rush,12,https://www.amarillorush.com,,,Success
Alvechurch,74,https://www.alvechurch.com,,,Success
Alvis Juniors,34,https://www.alvisjuniors.co.uk,,,Success
Alvechurch FC,133,https://www.alvechurch.com,,,Success
AMERICAN SPORTS MGMT,89,https://www.americansportsmgmt.com,,,Success
Amarillo,74,https://www.amarillo.com,,,Success
US Amputee Soccer,46,https://www.usamputeesoccer.com,,,Success
Amarillo,25,https://www.amarillo.com,,,Success
Amarillo Rush,18,https://www.amarillorush.com,,,Success
Amato,82,https://www.amato.co.uk,,,Success
Irish Soccer Club,103,https://www.irishsoccerclub.com,,,Success
ALS FC,126,https://www.als.com,,,Success
Nassau United FC,92,https://www.nassau.co.uk,,,Success
American Canyon,57,https://www.americancanyon.com,,,Success
American university,65,https://www.americanuniversity.com,,,Success
Alliance,43,https://www.alliance.com,,,Success
Ambassadors,155,https://www.ambassadors.com,,,Success
Ambassadors FC,2424,https://www.ambassadors.com,,,Success
Americans,64,https://www.americans.com,,,Success
AlUla FC,119,https://www.alula.com,,,Success
ASB,76,https://www.asb.com,,,Success
All Teams,118,https://www.allteams.com,,,Success
ARFC,48,https://www.arfc.co.uk,,,Success
ARFC,131,https://www.arfc.co.uk,,,Success
ARFC,159,https://www.arfc.co.uk,,,Success
AMG,17,https://www.amg.com,,,Success
Scotia,92,https://www.scotia.com,,,Success
ACHC,69,https://www.achc.com,,,Success
AMSG,153,https://www.amsg.com,,,Success
AEG,86,https://www.aeg.com,,,Success
PRIVATE,22,https://www.private.com,,,Success
Andorra cf,17,https://www.andorracf.com,,,Success
AGB,48,https://www.agb.com,,,Success
Andreas,122,https://www.andreas.com,,,Success
Ammanford AFC,71,https://www.ammanfordafc.co.uk,,,Success
AGFA,94,https://www.agfa.com,,,Success
Anchorians,36,https://www.anchoriansfc.co.uk,,,Success
Alex,11,https://www.alex.com,,,Success
Anchor Bay,54,https://www.anchorbay.co.uk,,,Success
Football,151,https://www.football.com,,,Success
anilla,257,https://www.anilla.com,,,Success
BLACK EAGLES,215,https://www.blackeagles.co.uk,,,Success
Amman FC,344,https://www.amman.com,,,Success
Chin Family,184,https://www.chinfamily.com,,,Success
SJR WORKSOP FC,12,https://www.sjrworksopfc.com,,,Success
AMISTA,366,https://www.amistafc.com,,,Success
AFC 06,171,https://www.afc06.com,,,Success
Football,170,https://www.football.com,,,Success
Football,142,https://www.football.com,,,Success
Antelope Valley FC,29,https://www.antelopevalley.com,,,Success
Annapolis Hawks,35,https://www.annapolishawks.com,,,Success
Annapolis Hawks,104,https://www.annapolishawks.com,,,Success
AVFC UNITED,72,https://www.avfcfc.com,,,Success
Ungdomsfotboll,213,https://www.ungdomsfotboll.com,,,Success
AVFC,150,https://www.avfcfc.com,,,Success
AVFC,26,https://www.avfcfc.com,,,Success
AGS Rugby,14,https://www.agsrugby.com,,,Success
AOSP FOOTBALL,54,https://www.aospfootball.com,,,Success
Anorthosis,513,https://www.anorthosis.com,,,Success
Anorthosis FC,56,https://www.anorthosis.com,,,Success
APIA Leichhardt FC,145,https://www.apialeichhardt.com,,,Success
PSP Imola,112,https://www.pspimola.com,,,Success
Olympique Montelais,93,https://www.olympiquemontelais.com,,,Success
Tony,163,https://www.tony.co.uk,,,Success
Anthony,48,https://www.anthony.com,,,Success
Apollo Football Club,138,https://www.apollo.com,,,Success
APB United,52,https://www.apb.com,,,Success
Apex Predators,52,https://www.apexpredators.com,,,Success
Antigua GFC,96,https://www.antiguagfc.com,,,Success
APOLLON,97,https://www.apollon.com,,,Success
Apollon Ladies,154,https://www.apollonladies.com,,,Success
arcoiris fc,741,https://www.arcoiris.com,,,Success
APOLLON FC,243,https://www.apollon.com,,,Success
AQR,52,https://www.aqr.com,,,Success
Ardee Celtic,82,https://www.celticfc.com,,,Success
Ardagh,87,https://www.ardagh.com,,,Success
AGS,36,https://www.ags.com,,,Success
AP's VEO,201,https://www.aps.com,,,Success
Viet Arlington FC,41,https://www.vietarlington.com,,,Success
Arena Beach Sports,31,https://www.arenabeachsports.com,,,Success
Ardstraw Football Club,23,https://www.ardstraw.co.uk,,,Success
Ardgowan,32,https://www.ardgowan.co.uk,,,Success
AZSC,78,https://www.azsc.com,,,Success
Ards Football Club,80,https://www.ardsfc.co.uk,,,Success
Ards FC Academy,52,https://www.ardsfc.co.uk,,,Success
Argo Cycles,60,https://www.argocycles.com,,,Success
Ariana FC,114,https://www.arianafc.com,,,Success
Arizona Arsenal ECNL Girls,442,https://www.arsenal.com,,,Success
Arizona,261,https://www.arizonafc.com,,,Success
Argentina FC,21,https://www.argentina.co.uk,,,Success
Arizona,368,https://www.arizonafc.com,,,Success
Arsenal,55,https://www.arsenal.com,,,Success
Arcticfox,72,https://www.arcticfox.com,,,Success
AZ Arsenal,209,https://www.arsenal.com,,,Success
ARIZONA ARSENAL 1,181,https://www.arsenal.com,,,Success
Arsenal,133,https://www.arsenal.com,,,Success
Arizona Arsenal,196,https://www.arsenal.com,,,Success
Arizona Arsenal Soccer Club,1811,https://www.arsenal.com,,,Success
Arg football agency,48,https://www.argfootballagency.com,,,Success
Arsenal,63,https://www.arsenal.com,,,Success
Arirang FC,41,https://www.arirangfc.com,,,Success
Argyle,137,https://www.argyle.com,,,Success
Arizona Arsenal Soccer Club,34,https://www.arsenal.com,,,Success
Arizona Soccer Club,3129,https://www.arizonasoccerclub.com,,,Success
Arsenal ECNL,119,https://www.arsenal.com,,,Success
Arkansas Comets,462,https://www.arkansascometsfc.com,,,Success
AVSA,52,https://www.avsa.com,,,Success
AASC,103,https://www.aasc.co.uk,,,Success
THE DALE,36,https://www.thedale.com,,,Success
ABK,203,https://www.abk.co.uk,,,Success
Army Football,58,https://www.armyfootball.com,,,Success
AHS,62,https://www.ahs.com,,,Success
Armada FC,64,https://www.armadafc.com,,,Success
Arsenal Česká Lípa,104,https://www.arsenal.com,,,Success
Armada FC,47,https://www.armadafc.com,,,Success
Armada,82,https://www.armadafc.com,,,Success
Arsenal,17,https://www.arsenal.com,,,Success
M’s Team,33,https://www.msteam.co.uk,,,Success
Arsenal,29,https://www.arsenal.com,,,Success
Arsenal,10,https://www.arsenal.com,,,Success
Arsenal Women,298,https://www.arsenal.com,,,Success
Arlesey Town,150,https://www.arleseyfc.co.uk,,,Success
Armstrong United,19,https://www.armstrongfc.com,,,Success
Arsenal Futbol Club,193,https://www.arsenal.com,,,Success
Arsenal Football Club PLC,1229,https://www.arsenal.com,,,Success
Arsenal,28,https://www.arsenal.com,,,Success
Arsenal 2008 Teal Boys,213,https://www.arsenal.com,,,Success
Arsenal Colorado,59,https://www.arsenal.com,,,Success
Arsenal Colorado,303,https://www.arsenal.com,,,Success
Arsenal,159,https://www.arsenal.com,,,Success
Arsenal Colorado 2005 Girls Academy,29,https://www.arsenal.com,,,Success
ASRA,77,https://www.asra.com,,,Success
Arsenal,23,https://www.arsenal.com,,,Success
Armitage Veo,38,https://www.armitage.co.uk,,,Success
Artemisium FC,53,https://www.artemisium.co.uk,,,Success
Armagh City FC,216,https://www.armagh.com,,,Success
ASAL,130,https://www.asal.com,,,Success
AS CANNES,338,https://www.ascannes.com,,,Success
ASBO,94,https://www.asbo.com,,,Success
ASCC,16,https://www.ascc.com,,,Success
Arucas VEO2,44,https://www.arucas.com,,,Success
ASCB,13,https://www.ascb.com,,,Success
ascc,12,https://www.ascc.com,,,Success
A. S.D,33,https://www.asdfc.com,,,Success
Arucas VEO3,46,https://www.arucas.com,,,Success
MOZZECANE,100,https://www.mozzecane.com,,,Success
ASCC,178,https://www.ascc.com,,,Success
Arundel FC,92,https://www.arundelfc.co.uk,,,Success
Ascc,18,https://www.ascc.com,,,Success
ASB,110,https://www.asb.com,,,Success
ASC,127,https://www.asc.com,,,Success
Paris fc,271,https://www.paris.com,,,Success
ASC,30,https://www.asc.com,,,Success
Ivanhoe,219,https://www.ivanhoe.com,,,Success
Ashley Down,84,https://www.ashleydown.co.uk,,,Success
ASA,91,https://www.asa.com,,,Success
Ashtead,62,https://www.ashteadfc.com,,,Success
Ashtead All Stars,16,https://www.ashteadallstars.com,,,Success
AUWS,76,https://www.auws.com,,,Success
Asheville FC,67,https://www.asheville.co.uk,,,Success
AUWS,14,https://www.auws.com,,,Success
Ashington AFC,214,https://www.ashingtonafc.com,,,Success
Ashford Town FC,196,https://www.ashford.com,,,Success
Ashland United,29,https://www.ashland.com,,,Success
Ifs,63,https://www.ifs.com,,,Success
Ashford,11,https://www.ashford.com,,,Success
Ashland United,114,https://www.ashland.com,,,Success
Ashford Town Football Club,27,https://www.ashford.com,,,Success
Ashridge,21,https://www.ashridge.com,,,Success
Ashford School,11,https://www.ashfordschool.com,,,Success
Ashley & Joshua,11,https://www.ashleyjoshua.com,,,Success
Asiop,15,https://www.asiop.com,,,Success
Asker,48,https://www.asker.com,,,Success
ASESG,57,https://www.asesg.com,,,Success
Askartza,110,https://www.askartza.com,,,Success
Asl,54,https://www.asl.co.uk,,,Success
Ashby Hockey Club,63,https://www.ashbyhockeyclub.co.uk,,,Success
ASA,17,https://www.asa.com,,,Success
ARFC,140,https://www.arfc.co.uk,,,Success
AGSC,1273,https://www.agsc.com,,,Success
ASMB,39,https://www.asmb.co.uk,,,Success
ASA,64,https://www.asa.com,,,Success
AS Montivilliers Football,31,https://www.asmontivilliersfootball.com,,,Success
Assens FC,19,https://www.assens.com,,,Success
Ashville,142,https://www.ashville.com,,,Success
ASMT,105,https://www.asmt.co.uk,,,Success
Aspull,27,https://www.aspull.co.uk,,,Success
AS Retiers,95,https://www.asretiers.com,,,Success
Aspen Academy,42,https://www.aspen.com,,,Success
ASSIST,16,https://www.assist.co.uk,,,Success
Asmm,28,https://www.asmm.co.uk,,,Success
AS Erstein,29,https://www.aserstein.com,,,Success
Arsenal de Chambly,115,https://www.arsenal.com,,,Success
ASVP,146,https://www.asvp.com,,,Success
ASCC,11,https://www.ascc.com,,,Success
AS Blainville,382,https://www.asblainville.com,,,Success
ACH,44,https://www.ach.co.uk,,,Success
ASMT,35,https://www.asmt.co.uk,,,Success
Asteras FC,51,https://www.asterasfc.com,,,Success
ASV Arsenal,94,https://www.arsenal.com,,,Success
A.C. Bra,402,https://www.acbra.com,,,Success
ASBH,92,https://www.asbh.com,,,Success
Aston Youth FC,90,https://www.astonfc.co.uk,,,Success
ASVH,32,https://www.asvh.com,,,Success
Castres Olympique,51,https://www.castresolympique.com,,,Success
Atherton LR,44,https://www.athertonlr.co.uk,,,Success
AUSA,191,https://www.ausa.com,,,Success
Torrellano,472,https://www.torrellano.com,,,Success
Atalanta FC,13,https://www.atalantafc.co.uk,,,Success
Villers,69,https://www.villers.com,,,Success
Atalanta FC,15,https://www.atalantafc.co.uk,,,Success
Atalanta,10,https://www.atalantafc.co.uk,,,Success
Atalanta FC,14,https://www.atalantafc.co.uk,,,Success
Atalanta,34,https://www.atalantafc.co.uk,,,Success
Atalanta,17,https://www.atalantafc.co.uk,,,Success
Atalanta FC,16,https://www.atalantafc.co.uk,,,Success
Mockingbirds,90,https://www.mockingbirds.co.uk,,,Success
Athens FC,98,https://www.athens.co.uk,,,Success
AFU,42,https://www.afu.com,,,Success
AFU,2234,https://www.afu.com,,,Success
ASFAR,355,https://www.asfar.com,,,Success
AFU,148,https://www.afu.com,,,Success
Athletic Newham FC,48,https://www.newham.co.uk,,,Success
ASTRA,493,https://www.astrafc.com,,,Success
