Club_Name,Recordings,Website,Email,Phone,Status
Alphen,90,https://www.alphen.com,webmaster@alphen.com,,Success
Ambush,146,https://www.ambushfc.com,ambushfcllc@gmail.com,,Success
AFC,44,https://www.afc.co.uk,contact@afc.co.uk,,Success
AFC,120,https://www.afc.co.uk,contact@afc.co.uk,,Success
Alpha,97,https://www.alphafc.co.uk,admin@alphafc.co.uk,07956122207,Success
Alpha,26,https://www.alphafc.co.uk,admin@alphafc.co.uk,07956122207,Success
Alta IF,26,https://www.altaif.co.uk,,01865736300,Success
Altarnun,37,https://www.altarnun.co.uk,info@any-village.co.uk,,Success
Alta IF,56,https://www.altaif.co.uk,,01865736300,Success
Altrincham hale fc,60,https://www.altrinchamhalefc.com,,07986382147,Success
Al Najma,202,https://www.alnajma.co.uk,info@alnajma.co.uk,,Success
ALTO ACADEMY,63,https://www.alto.com,care@alto.com,,Success
Altona city,14,https://www.altona.com,impallari@gmail.com,,Success
Alpharetta,138,https://www.alpharetta.com,info@alpharetta.com,,Success
Altona City,11,https://www.altona.com,impallari@gmail.com,,Success
Altona City,13,https://www.altona.com,impallari@gmail.com,,Success
altona city,11,https://www.altona.com,impallari@gmail.com,,Success
Altona,12,https://www.altona.com,impallari@gmail.com,,Success
Altona City,13,https://www.altona.com,impallari@gmail.com,,Success
Amaanah Lions,39,https://www.amaanahlions.com,richard@amaanahlions.org,,Success
ASM,16,https://www.asmfc.com,contact@asmfc.com,,Success
AFHS,50,https://www.afhs.co.uk,info@afhs.co.uk,,Success
AMA,31,https://www.ama.com,admin@telepathy.com,,Success
Amherst Soccer,71,https://www.amherstsoccer.com,girlstravel@amherstsoccer.com,,Success
Amherst Soccer,21,https://www.amherstsoccer.com,girlstravel@amherstsoccer.com,,Success
Amir,170,https://www.amir.com,info@amir.com,,Success
Ampthill RUFC,67,https://www.ampthillrufc.com,marketing@ampthillrufc.com,,Success
AMORA FC SAD,307,https://www.amorasad.com,contact@amorasad.com,,Success
AFC,52,https://www.afc.co.uk,contact@afc.co.uk,,Success
Longstone,45,https://www.longstone.com,info@longstone.com,,Success
Canterbury Academy,43,https://www.canterbury.com,care@canterbury.com,,Success
Andres,30,https://www.andres.com,hello@andres.com,,Success
Ancaster Legacy,83,https://www.ancasterlegacy.com,admin@ancasterlegacy.com,,Success
Americas FC,92,https://www.americas.co.uk,katrina@americas.co.uk,,Success
Vikings,10,https://www.vikings.com,hello@getstoryteller.com,,Success
andGO Sports,479,https://www.andgosports.com,admin@mail.com,,Success
Anderson High School,90,https://www.andersonhighschool.com,webmaster@andersonhighschool.com,,Success
Anstey Nomads,179,https://www.ansteynomads.com,bookings@ansteynomads.com,,Success
Angels FC,16,https://www.angels.com,privacy@website.mlb.com,,Success
Annan Rugby,44,https://www.annanrugby.com,contact@annanrfc.com,07981012659,Success
Emery,115,https://www.emery.com,team@emery.com,,Success
Angels United,54,https://www.angels.com,privacy@website.mlb.com,,Success
Angel FC,56,https://www.angel.com,support@angel.com,,Success
anthon,15,https://www.anthon.com,anthon@anthon.com,,Success
Animo FC,344,https://www.animo.com,info@animo.com,,Success
Animo FC,43,https://www.animo.com,info@animo.com,,Success
Annerley FC,192,https://www.annerleyfc.com,annerleyfc80th@gmail.com,,Success
APEA,159,https://www.apea.com,questions@apea.com,,Success
AOI Pro,237,https://www.aoipro.com,tech@aoipro.com,,Success
Anthony Wayne,58,https://www.anthonywayne.com,den@anthonywayne.com,,Success
Apex,259,https://www.apexfc.com,david@apexfc.com,,Success
Arbitrage,37,https://www.arbitrage.com,contact@arbitrage.com,,Success
Anoble,37,https://www.anoble.com,info@anoblelogistics.com,,Success
Arabian Falcons,35,https://www.arabianfalconsfc.com,info@arabianfalconsfc.com,,Success
ACS(I),85,https://www.acsi.co.uk,info@acsi.eu,,Success
Apex Fc,90,https://www.apexfc.com,david@apexfc.com,,Success
Anoble,177,https://www.anoble.com,info@anoblelogistics.com,,Success
Ardley United FC,65,https://www.ardley.com,info@ardley.com,,Success
Ardmore Rovers,78,https://www.ardmore.co.uk,info@ardmore.co.uk,,Success
Winton,135,https://www.winton.com,enquiries@winton.com,,Success
WTOC,33,https://www.wtoc.com,publicfile@wtoc.com,,Success
Archway,165,https://www.archway.com,info@archway.com,,Success
Ardmore,26,https://www.ardmore.co.uk,info@ardmore.co.uk,,Success
Aravaca CF,75,https://www.aravacacf.com,aravacaclubdefutbol@gmail.com,,Success
APA Poble Sec,97,https://www.apapoblesec.com,info@apapoblesec.com,,Success
AFC,287,https://www.afc.co.uk,contact@afc.co.uk,,Success
Pirates,52,https://www.pirates.com,privacy@website.mlb.com,,Success
Arlington Soccer,3947,https://www.arlingtonsoccer.com,info@arlingtonsoccer.com,,Success
ARIS FC,713,https://www.arisfc.com,info@arisfc.com,,Success
ARENAS CLUB,248,https://www.arenasclub.com,administracion@arenasclub.com,,Success
Aris,174,https://www.arisfc.com,info@arisfc.com,,Success
Arrows of Liberty,194,https://www.arrowsofliberty.com,arrowsofliberty@hotmail.com,,Success
Arlington,55,https://www.arlington.com,info@arlington.com,,Success
Arlington,95,https://www.arlington.com,info@arlington.com,,Success
Arlington,24,https://www.arlington.com,info@arlington.com,,Success
Arlington FC,104,https://www.arlington.com,info@arlington.com,,Success
Self,19,https://www.self.com,help@newyorker.com,,Success
Arbitrage,95,https://www.arbitrage.com,contact@arbitrage.com,,Success
Arnold Eagles FC,46,https://www.arnoldeagles.com,eben@eyebytes.com,,Success
Aris,103,https://www.arisfc.com,info@arisfc.com,,Success
Aris FC,53,https://www.aris.com,partnersupportdesk@aris.com,,Success
BIELLESE,119,https://www.biellese.com,,01965270026,Success
Ascension,60,https://www.ascensionfc.com,impallari@gmail.com,,Success
A.S.D. AMBROSIANA,66,https://www.asdambrosiana.com,info@asdambrosiana.com,,Success
ASC New Stars,129,https://www.ascnewstars.com,ascnewstars@gmail.com,,Success
Ascot Youth,166,https://www.ascot.com,will.aitkenhead@ascot.com,,Success
Calcio Brusaporto,103,https://www.calciobrusaporto.com,miae-mail@servizioe-mail.com,01704180163,Success
Asbury,58,https://www.asbury.com,marketing@asbury.com,,Success
A.S.D. CALCIO SARCEDO,24,https://www.asdcalciosarcedo.com,calciosarcedo@gmail.com,,Success
BIELLESE,17,https://www.biellese.com,,01965270026,Success
Ashmount Leigh FC,67,https://www.ashmountleighfc.co.uk,chairman.ashmountleighfc@gmail.com,07449177022,Success
Ashton Bears ARLFC,96,https://www.ashtonbearsarlfc.com,hello@ashtonbearsarlfc.com,,Success
A.S. Cittadella,196,https://www.ascittadella.com,,01317970240,Success
Ase Jnr Tigers,30,https://www.asejnrtigers.co.uk,asejnrtigers@gmail.com,,Success
ASD Cluentina Calcio,127,https://www.asdcluentinacalcio.com,info@ssmaceratese1922.it,,Success
ASK,19,https://www.askfc.com,sogoba3@gmail.com,,Success
Ashcott FC,84,https://www.ashcottfc.co.uk,welfare@ashcottfc.co.uk,,Success
ASG SA,129,https://www.asgsa.com,info@asg.es,,Success
Ash United FC,189,https://www.ash.com,cs@ash.com,,Success
AS Hunspach,122,https://www.ashunspach.com,outreforet.js@alsace.lgef.fr,,Success
Ashton United,145,https://www.ashtonfc.com,enquiries@ashtonfc.com,,Success
Ashton United,133,https://www.ashtonfc.com,enquiries@ashtonfc.com,,Success
ASM,46,https://www.asmfc.com,contact@asmfc.com,,Success
Ashton Town FC,180,https://www.ashtonfc.com,enquiries@ashtonfc.com,,Success
Afs vila de sitges,139,https://www.afsviladesitges.com,afsviladesitges@gmail.com,,Success
AS Montfortoise,22,https://www.asmontfortoise.com,as.montfort@orange.fr,,Success
Aspire2Be Coaching,35,https://www.aspire2becoaching.co.uk,enquiries@warksis.ac.uk,,Success
Aspire FC,60,https://www.aspirefc.com,martin@fcaspire.com,07984606124,Success
Aspire Academy,290,https://www.aspirefc.com,martin@fcaspire.com,07984606124,Success
Aspire,16,https://www.aspirefc.com,martin@fcaspire.com,07984606124,Success
Aspire FC,278,https://www.aspirefc.com,martin@fcaspire.com,07984606124,Success
Aspire,204,https://www.aspirefc.com,martin@fcaspire.com,07984606124,Success
As montchat Lyon,24,https://www.asmontchatlyon.com,contact@asmontchatlyon.com,,Success
Ascend,220,https://www.ascend.co.uk,readyto@ascend.co.uk,,Success
Ascend FC,47,https://www.ascend.co.uk,readyto@ascend.co.uk,,Success
AFC,114,https://www.afc.co.uk,contact@afc.co.uk,,Success
AS LUDRES,69,https://www.asludres.com,ludresas@meurtheetmoselle.lgef.fr,,Success
Aston Villa Foundation,152,https://www.avfc.co.uk,william.street@avfc.co.uk,,Success
ASTON VILLA WOMEN,1538,https://www.avfc.co.uk,william.street@avfc.co.uk,,Success
Aston Villa Academy,148,https://www.avfc.co.uk,william.street@avfc.co.uk,,Success
Astley and Tyldesley FC,271,https://www.astleyandtyldesleyfc.com,siellis81@google.com,,Success
Neumarkt,26,https://www.neumarkt.com,redaktion@neumarkt.com,,Success
ASV Jenesien,60,https://www.asvjenesien.com,sportvereinjenesien@gmail.com,01552730218,Success
ATBS,88,https://www.atbs.com,info@atbs.com,,Success
Atherton Town Football Club,93,https://www.atherton.com,raj@atherton.com,,Success
AC Independence,223,https://www.acindependence.com,info@acindependence.com,,Success
Feldthurns,50,https://www.feldthurns.com,info@klausen.it,,Success
Select Soccer,104,https://www.selectsoccer.co.uk,info@selectsoccer.co.uk,07966055740,Success
Pace Academy,134,https://www.pacefc.co.uk,clubsecretary@pacefc.co.uk,,Success
ATLANTIC UNITED PREMIER FC,144,https://www.atlanticpremier.com,jane@atlanticpremierproperties.com,,Success
AS Montis,92,https://www.asmontis.com,info@asmontis.com,,Success
AFC -,66,https://www.afc.co.uk,contact@afc.co.uk,,Success
Atherton Collieries,115,https://www.athertoncollieries.co.uk,rob@athertoncollieries.co.uk,,Success
Pachi,255,https://www.pachi.com,pachi@pachi.com,,Success
Auckland international football club,37,https://www.aucklandinternational.com,sales@aucklandinternational.com,,Success
Atletico Benidorm,31,https://www.atleticobenidorm.com,info@atleticobenidorm.com,,Success
Aurora FC,42,https://www.aurora.co.uk,generalenquiries@aurora.co.uk,,Success
Aurora FC,12,https://www.aurora.co.uk,generalenquiries@aurora.co.uk,,Success
Aurora FC,14,https://www.aurora.co.uk,generalenquiries@aurora.co.uk,,Success
Atomics Football,87,https://www.atomicsfootball.com,info@atomicsfootball.com,,Success
Aurora FC,309,https://www.aurora.co.uk,generalenquiries@aurora.co.uk,,Success
Aurora FC,54,https://www.aurora.co.uk,generalenquiries@aurora.co.uk,,Success
Atoms,17,https://www.atoms.com,support@atoms.com,,Success
Aurora Football Club,188,https://www.aurora.co.uk,generalenquiries@aurora.co.uk,,Success
Aurora Football Club,107,https://www.aurora.co.uk,generalenquiries@aurora.co.uk,,Success
Aurora FC,100,https://www.aurora.co.uk,generalenquiries@aurora.co.uk,,Success
ACTaipei,57,https://www.actaipei.com,contact@actaipei.com,,Success
Atletico Lusaka,428,https://www.atleticolusaka.com,info@atleticolusaka.com,,Success
Avion,32,https://www.avion.com,avionresearch@gmail.com,,Success
RUGBY,54,https://www.rugby.co.uk,webmaster@press.co.uk,,Success
Avondale FC,83,https://www.avondale.com,managementteam@avondale.com,,Success
Aylesbury Vale Dynamos,14,https://www.aylesburyvaledynamos.co.uk,infoavdfc@gmail.com,,Success
Aylesbury Vale Dynamos FC,96,https://www.aylesburyvaledynamos.co.uk,infoavdfc@gmail.com,,Success
Ayr United,75,https://www.ayr.com,ayrheads@ayr.com,,Success
ASSAF,14,https://www.assaf.co.uk,assaf@assaf.co.uk,,Success
Fusion,309,https://www.fusionfc.com,domain@webcraft.com,,Success
AZFC Select,86,https://www.azfcselect.com,info@azfcselect.com,,Success
AZFC Select,197,https://www.azfcselect.com,info@azfcselect.com,,Success
Azteca,30,https://www.aztecafc.com,aztecafc15@gmail.com,,Success
Aztlan,117,https://www.aztlan.com,info@indiantypefoundry.com,,Success
AYD,50,https://www.ayd.com,admin@telepathy.com,,Success
Ayd,13,https://www.ayd.com,admin@telepathy.com,,Success
AYD,36,https://www.ayd.com,admin@telepathy.com,,Success
AYD,43,https://www.ayd.com,admin@telepathy.com,,Success
Bablake,107,https://www.bablake.com,info.thegrange@csfoundation.org.uk,,Success
AYD,13,https://www.ayd.com,admin@telepathy.com,,Success
AYD,26,https://www.ayd.com,admin@telepathy.com,,Success
BA Baracus Rugby Football Club,21,https://www.babaracusrugby.com,info@babaracusrugby.com,,Success
UNITED SOUTH BAY,252,https://www.southbayfc.com,toaddress@email.com,,Success
United South Bay,30,https://www.southbayfc.com,toaddress@email.com,,Success
B93,62,https://www.b93.com,voluntary.action@dermarite.com,,Success
Baldivis Soccer Club,101,https://www.baldivissoccerclub.com,contact@baldivissoccerclub.com,,Success
Ball By Design,13,https://www.ballbydesign.com,bbdhoops@gmail.com,,Success
Balanced FC,104,https://www.balancedfc.co.uk,klee@balancedfc.co.uk,,Success
The Town,40,https://www.thefc.co.uk,hello@thefc.co.uk,,Success
Balham Ballers FC,503,https://www.balhamballers.com,info@balhamballers.com,,Success
Ballymote Gaa,37,https://www.ballymotegaa.com,kieran.tighe1@gmail.com,,Success
Ballymena_2s,31,https://www.ballymenaunitedfc.com,football@ballymenaunitedfc.com,,Success
Ballymena United FC Development,95,https://www.ballymenaunitedfc.com,football@ballymenaunitedfc.com,,Success
Ballymena United,132,https://www.ballymenaunitedfc.com,football@ballymenaunitedfc.com,,Success
Ballymena rfc,53,https://www.ballymenaunitedfc.com,football@ballymenaunitedfc.com,,Success
Ballymena Academy,30,https://www.ballymenaunitedfc.com,football@ballymenaunitedfc.com,,Success
Ballymena Academy Hockey Club,20,https://www.ballymenaunitedfc.com,football@ballymenaunitedfc.com,,Success
Ballymac GAA,122,https://www.ballymacgaa.com,edward.stack@mail.com,,Success
Ballymena Academy Grammar School,63,https://www.ballymenaunitedfc.com,football@ballymenaunitedfc.com,,Success
Balonmano Dominicos,87,https://www.balonmanodominicos.com,administracion@balonmanodominicos.com,,Success
Ballyclare High,28,https://www.ballyclarehigh.co.uk,info@ballyclarehigh.ballyclare.ni.sch.uk,,Success
Ballyclare RFC,90,https://www.ballyclarerfc.co.uk,info@ballyclarerfc.co.uk,,Success
BSSC,410,https://www.bssc.com,comments@bssc.com,,Success
Ballers of London,10,https://www.ballersoflondon.co.uk,info@ballersoflondon.co.uk,,Success
Balmy Beach Rugby,25,https://www.balmybeachrugby.com,balmybeachjuniors@gmail.com,,Success
Ballykelly,27,https://www.ballykelly.com,vivek@telsamedia.com,,Success
Balzan FC,62,https://www.balzan.com,balzan@balzan.it,,Success
BALZAN FC ACADEMY,118,https://www.balzan.com,balzan@balzan.it,,Success
Banbridge Hockey Club,129,https://www.banbridgehockeyclub.com,info@banbridgehockeyclub.com,,Success
Bangkok Galaxy FC,530,https://www.bangkokgalaxyfc.com,info@bangkokgalaxyfc.com,,Success
Bangor Grammar School,16,https://www.bangorgrammarschool.com,info@bgs.bangor.ni.sch.uk,,Success
Wolfpack,178,https://www.wolfpack.com,support@wolfpack.com,,Success
Banwell FC,79,https://www.banwellfc.co.uk,secretary@banwellfc.co.uk,,Success
Bangor FC,306,https://www.bangorfc.com,company.secretary@bangorfc.com,,Success
Barnet Nightingales,23,https://www.barnetnightingalesfc.co.uk,secretary@barnetnightingalesfc.co.uk,,Success
Banstead Village,16,https://www.bansteadvillagefc.co.uk,bansteadvillagefc@gmail.com,,Success
Barford,45,https://www.barford.com,info@barford.com,,Success
Barnes Camera,98,https://www.barnescamera.com,barnesrl006@gmail.com,,Success
Barnet FC Academy,148,https://www.barnetfc.com,hivesafeguarding@thehivelondon.com,,Success
Bangor Hockey Club,33,https://www.bangorhockeyclub.com,juniorclub@bangorhockeyclub.com,,Success
BASA,29,https://www.basa.com,basamail@basa.com,,Success
Bancroft,54,https://www.bancroft.co.uk,sales@bancroft.co.uk,,Success
Basketball,11,https://www.basketball.com,amiller@hilcoglobal.com,,Success
Mustang,151,https://www.mustangfc.com,sales@mustangfc.com,,Success
BARONA,19,https://www.barona.com,info@barona.com,,Success
SB4U,169,https://www.sb4u.com,565474376@qq.com,,Success
Basing Royals,96,https://www.basingroyalsfc.co.uk,filler@godaddy.com,,Success
Bath Rugby,62,https://www.bathrugby.com,partnerships@bathrugby.com,,Success
Bath Rugby,26,https://www.bathrugby.com,partnerships@bathrugby.com,,Success
Barwell FC,136,https://www.barwell.com,info@barwell.com,,Success
Basketballscotland,447,https://www.basketballscotland.co.uk,j.waters@basketballscotland.co.uk,,Success
Akuma Sports,118,https://www.akumasports.com,,01676533320,Success
Battlefield,132,https://www.battlefield.com,privacy_policy@ea.com,,Success
Burlington,83,https://www.burlington.com,info@burlingtoninvestors.com,,Success
Carson,53,https://www.carsonfc.com,pres@carsonfc.org,,Success
Bayshore SC,153,https://www.bayshoresc.com,media.bayshoresc@gmail.com,,Success
