Club_Name,Recordings,Website,Email,Phone,Status
FC Staffanstorp,68,,,,No Website
Fc Rothrist,15,,,,No Website
FCSB,134,,,,No Website
FC Stockholm P2014,135,,,,No Website
FC Storm Premier - 1,135,,,,No Website
FC Storm Premier - 2,56,,,,No Website
FC SCHWAIG,10,,,,No Website
FC Stars,28,,,,No Website
FC Stammheim,24,,,,No Website
FC Sternenberg,52,,,,No Website
Fc somtuna,125,https://www.somtuna.com,,,Success
FC Strausberg,22,,,,No Website
FC ST HELENS,94,https://www.sthelens.com,sales@safetynet.co.uk,,Success
FC Sand,101,,,,No Website
Fc Salgesch,16,https://www.salgesch.com,vereinsekretariat@salgesch.ch,,Success
F.C. Strikerz Supersonics,12,,,,No Website
FC Stars,99,,,,No Website
FC Storm Premier - 3,57,,,,No Website
FC Subingen,21,,,,No Website
FC Süderelbe von 1949 e. V.,23,,,,No Website
FC Silkeborg,84,,,,No Website
FC Sports,48,https://www.sportsfc.co.uk,,,Success
FC Stars,40,,,,No Website
FC Süderelbe von 1949 e.V.,43,,,,No Website
FC Stars,138,,,,No Website
FC Stars,264,,,,No Website
FCR,66,,,,No Website
FC Stars,51,,,,No Website
FCS,73,https://www.fcs.com,info@fcs.com,,Success
FC Strání,30,,,,No Website
FC T1,10,,,,No Website
FC Skillz,33,https://www.skillz.com,,,Success
FCS,75,https://www.fcs.com,info@fcs.com,,Success
FCSudtirol (Bolzano - Italia),170,,,,No Website
FC Stars,160,,,,No Website
Mihail,170,https://www.mihail.co.uk,mihailflorin@yahoo.co.uk,07853430310,Success
FC SUD 17,13,,,,No Website
FC Stars,268,,,,No Website
F.C. Südtirol - FCS Center,544,,,,No Website
FC SUSA Vienna,314,,,,No Website
FC Svratka Brno,367,,,,No Website
Fc Sviedinys,26,,,,No Website
FC Svratka Brno,236,,,,No Website
Stars,14,,,,No Website
FC Sydvest 05 Tønder,11,,,,No Website
Fc Syra Mensdorf,23,,,,No Website
FCT2009,134,,,,No Website
FC Stockholm,37,https://www.stockholm.com,,,Success
FC Süderelbe,267,,,,No Website
FC SNEF,28,,,,No Website
FC Stratford,117,,,,No Website
FC Stockholm,60,https://www.stockholm.com,,,Success
FC Seefeld,26,https://www.seefeld.com,region@seefeld.com,,Success
FC Táborsko akademie,31,,,,No Website
FC Solothurn,70,,,,No Website
FC Stockholm,134,https://www.stockholm.com,,,Success
Fc Tampa rangers,197,,,,No Website
FC Tatran Prešov,77,,,,No Website
FC Rondo,39,https://www.rondofc.com,rondofcmanagement@gmail.com,,Success
FC Serbia,105,https://www.serbia.com,,,Success
FC TATRAN Prešov,107,,,,No Website
FC Stern,80,,,,No Website
FCT 1.M,83,,,,No Website
Fc st vrain,16,,,,No Website
FCSG,66,https://www.fcsg.com,,,Success
Rangers,43,,,,No Website
Suebia,113,,,,No Website
FC Struga,52,,,,No Website
FC Stars,455,,,,No Website
FC Team Höfinger Reith,88,,,,No Website
Fc Termas Sao Vicente,18,,,,No Website
FC Tempo Praha,885,,,,No Website
Lutz Rangers,48,,,,No Website
FC Staad,20,https://www.staad.com,,,Success
FC Stockholm,13,https://www.stockholm.com,,,Success
FC Tampa Rangers,1253,,,,No Website
FC Thayngen,14,,,,No Website
FC Tavannes-Tramelan,62,,,,No Website
FC SUMY,16,,,,No Website
FC THY Piger,408,,,,No Website
FC Tallinn,92,,,,No Website
FC Tempo Frankfurt,44,,,,No Website
FC Tigers Vancouver Soccer Club,204,,,,No Website
FC Tallinn,114,,,,No Website
Torpedo Hasselt,109,,,,No Website
FC Stars,140,,,,No Website
FC Tallinn,33,,,,No Website
FC.TONジュニアユース,12,,,,No Website
FC The Belval Belvaux,14,,,,No Website
FC Thalhofen e.V.,126,,,,No Website
FC Tallinn,122,,,,No Website
FC Tiengen 08,95,,,,No Website
FCS,30,https://www.fcs.com,info@fcs.com,,Success
FC Thaon BLF,323,,,,No Website
FC TPS Turku Oy,492,,,,No Website
FC Tricastin,11,,,,No Website
FC TPS G2011,123,,,,No Website
FC Therwil,50,,,,No Website
FC Truchtersheim,31,,,,No Website
FC Zlín,323,,,,No Website
FCSM,33,,,,No Website
FC TÜRK Kelsterbach,51,,,,No Website
FC Tricolore Gasperich Luxembourg,16,,,,No Website
Türkspor,51,,,,No Website
FC TREMERY,32,,,,No Website
FC Trussfut,17,,,,No Website
Teningen,67,,,,No Website
FC Thalwil,117,,,,No Website
FC TuBa Pohlheim,82,,,,No Website
금천FC U15,13,,,,No Website
FC Türk Sport Garching,28,,,,No Website
FCTHER,48,,,,No Website
Fc Starz,34,https://www.starz.com,support@help.starz.com,,Success
FC Tucson Youth Soccer Club (Team),53,,,,No Website
FC United,81,,,,No Website
FC United,89,,,,No Website
FC United,116,,,,No Website
FC United,14,,,,No Website
FC United,139,,,,No Website
FC United,49,,,,No Website
FC Ueberstorf,66,,,,No Website
FC United,227,,,,No Website
FC United,16,,,,No Website
FC Sønderborg,418,,,,No Website
FC Tiszaujvaros,293,,,,No Website
FC TURKSE RANGERS,22,,,,No Website
FC Twente/Heracles Academie,26,,,,No Website
FC United SC,86,,,,No Website
Topsportmission,130,,,,No Website
Wolverines,41,,,,No Website
월스포츠FC-U18,90,,,,No Website
FC TVD Slavičín,28,,,,No Website
FC Union Heilbronn,93,,,,No Website
FCSO69,170,https://www.fcso69.com,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,,Success
Fct,30,https://www.fct.com,,,Success
FC Union Schafhausen,64,,,,No Website
FC Tokushima,48,,,,No Website
FC Suryoye,61,,,,No Website
FC Triesenberg,26,,,,No Website
FC Trofaiach,15,,,,No Website
FC Unione Kashiwara,502,,,,No Website
FC UNA Strassen,187,,,,No Website
FC United of Manchester,143,,,,No Website
FC Union Tornesch,123,,,,No Website
FC Union Tornesch,40,,,,No Website
FC Union Erfurt e. V.,118,,,,No Website
Fc United 2007 Girls,58,,,,No Website
FCU Schalke 04,11,,,,No Website
Fc Trois-Lacs,236,,,,No Website
Tecnico,58,https://www.tecnico.com,,,Success
FC Rotenberg,38,https://www.rotenberg.co.uk,daphne@daphnediluce.com,,Success
Marcel,101,,,,No Website
FC VALOR KARATSU,23,,,,No Website
+49 1577 7789990,37,,,,No Website
FC VAPSI/P2014-2015,53,,,,No Website
FC Uzwil Youth League B Junioren,12,,,,No Website
FC Vaajakoski P2014,65,,,,No Website
Fc veo,18,,,,No Website
FC Veo,100,,,,No Website
FC Uitikon,38,,,,No Website
Top Kickers,55,,,,No Website
FC Velké Meziříčí,16,,,,No Website
FCV Dender EH - JEUGD,281,,,,No Website
FC Tampa,32,https://www.tampa.com,,,Success
FC St. Pauli,80,https://www.stpauli.com,,,Success
FC Vardar Skopje,53,,,,No Website
FC Tulsa,376,,,,No Website
FC Verden 04 e. V.,221,,,,No Website
FCV équipes séniors,30,,,,No Website
FC Vaajakoski P2012,76,,,,No Website
Fc Vendenheim R1,37,,,,No Website
FC Bruckhäusl,57,,,,No Website
FC St Pauli,118,https://www.stpauli.com,,,Success
Fc Versailles 78,330,,,,No Website
FC Ubbelohde,19,https://www.ubbelohde.com,mail@ubbelohde.com,,Success
FC Vétroz,131,,,,No Website
FC TAMPA,55,https://www.tampa.com,,,Success
FC Viikingit,625,,,,No Website
FC United Des Moines,57,,,,No Website
FC Vesoul,17,,,,No Website
FC Tampa,61,https://www.tampa.com,,,Success
FC Teutonia,166,https://www.teutonia.com,,,Success
FC Viktoria Thiede,22,,,,No Website
Fc Vallées,98,,,,No Website
FC Ullrich,274,,,,No Website
Viktoria Jüterbog,26,,,,No Website
FC Victoria Rosport,52,,,,No Website
FC SUNRISE,11,https://www.sunrisefc.com,mymail@mailservice.com,,Success
FC Vapsi,36,,,,No Website
FC VIKINGS UA / YW,55,,,,No Website
FC Veseli nad Moravou,34,,,,No Website
FC Viktoria Plzeň,15,,,,No Website
FC Team plan,26,https://www.teamplan.com,,,Success
"FC VIKTORIA Mariánské Lázně, z.s",28,,,,No Website
FC Viktoria Plzeň,171,,,,No Website
FC Veltheim,45,,,,No Website
F.C. Viktoria Heiden 1921 e.V.,34,,,,No Website
FC Van,23,,,,No Website
Fc Venoge,22,,,,No Website
FC Vendenheim,14,,,,No Website
FC Val-de-Travers,18,,,,No Website
FC Villars-sur-Glâne,46,,,,No Website
FC Viktoria Urberach,27,,,,No Website
Viktoria Berlin,135,,,,No Website
FCV Grace Dieu,383,,,,No Website
FC VDR,31,https://www.vdr.com,user@domain.com,,Success
FC Ukraine United,49,https://www.ukraine.com,,,Success
FC Villmergen,75,,,,No Website
FC Uznach,33,https://www.uznach.com,,,Success
ViOn U15,13,,,,No Website
FC Voran Ohe,70,,,,No Website
"Požitavská futbalová akadémia FC ViOn, združenie",408,,,,No Website
FCV Saint-Philippe,12,,,,No Website
F.C. Vorwärts Wettringen e.V.,91,,,,No Website
FC Vysocina mladez,225,,,,No Website
FC Zlin,12,,,,No Website
FCW 2011,59,,,,No Website
FC Wacker Biberach,65,,,,No Website
FC Urdorf,34,,,,No Website
FC Uster,12,https://www.uster.com,,,Success
FC Wängi,25,,,,No Website
FC.vinculo,51,https://www.vinculo.com,,,Success
FC Wacker München U17,47,,,,No Website
Fc Vilomah,110,,,,No Website
FC Wattwil Bunt,152,,,,No Website
Jugendförderverein FC Waldkirch e.V.,14,,,,No Website
FC Wacker München,116,,,,No Website
FC Vratimov,33,,,,No Website
FCS,47,https://www.fcs.com,info@fcs.com,,Success
FC Westchester  - Joe Sitt,23,,,,No Website
FC Vetlanda,73,,,,No Website
FC Westchester 2013s,27,,,,No Website
FC Wendelstein 2017 e.V.,21,,,,No Website
FC Wädi,62,,,,No Website
FC Vernier,101,https://www.vernier.com,info@vernier.com,,Success
FC Unterföhring,46,,,,No Website
FCW B2012 NAL,15,,,,No Website
FC Wezel Sport,14,,,,No Website
FC Wichita (ECNL 1),130,,,,No Website
FC Unterstrass,135,,,,No Website
FC Verdun,31,,,,No Website
FC Waldbrunn,80,,,,No Website
FC Villeneuve,99,,,,No Website
FC Wichita (NPL),48,,,,No Website
fc vaulx,13,,,,No Website
warsage,113,,,,No Website
FC Wichita (ECNL 2),82,,,,No Website
FC Volendam,1075,https://www.volendam.com,,,Success
FCVT,47,,,,No Website
FC Eichel,89,,,,No Website
FC Vysocina,372,https://www.vysocina.com,,,Success
FC Testigo,329,,,,No Website
FC Winterthur Frauen,122,,,,No Website
Veikkolan Futiskenttä Oy,351,,,,No Website
FC Trias,50,,,,No Website
FC Wiltz Académie,13,,,,No Website
FC Wiesharde,16,,,,No Website
United Kaunas,33,,,,No Website
FC.VIDA,835,https://www.vida.com,support@vida.com,,Success
FC VVC,24,https://www.vvc.com,,,Success
FCW (Morris),51,,,,No Website
TFF,17,https://www.tfffc.com,,,Success
FC Westchester,42,https://www.westchesterfc.com,,,Success
FC Wehr,73,https://www.wehr.com,,,Success
FC Springs,260,https://www.springs.co.uk,enquiries@springs.co.uk,,Success
FC Winterswijk 1,22,,,,No Website
FC Winterthur U-15,90,,,,No Website
FC Westchester Girls Academy,123,,,,No Website
FC Wisconsin ECNL,161,,,,No Website
FC Westchester,21,https://www.westchesterfc.com,,,Success
FC Wolves Norwalk,456,,,,No Website
FC Wiltz 71,303,,,,No Website
FC Utrecht,34,https://www.utrecht.com,,,Success
FC Wallisellen,60,,,,No Website
Fc Villiers le bel,34,https://www.villierslebel.com,,,Success
FC Würzburger Kickers,115,,,,No Website
FC WüFla,46,,,,No Website
FC Young Santarcangelo,114,,,,No Website
FWK U19,78,,,,No Website
FC Yellow Boys Weiler-la-Tour,45,,,,No Website
FC Wangen b. O.,12,https://www.wangenbo.com,,,Success
"FC ZBROJOVKA BRNO, a.s.",279,,,,No Website
FC Wittlingen,110,,,,No Website
Zbrojovka,162,,,,No Website
FC Zlín VEO mládež 1,23,,,,No Website
FC ŽĎAS Žďár nad Sázavou,73,,,,No Website
FC Zlín  B,24,,,,No Website
FC Zemst Sportief,95,,,,No Website
FC ZLÍNSKO spolek,12,,,,No Website
FC Trollhättan,323,,,,No Website
Fc Zornthal,69,,,,No Website
Fc wasps,28,https://www.waspsfc.co.uk,2431fa97889e4751b7ff02313b91d5a7@sentry.io,,Success
FC Tucson,867,https://www.tucson.com,,,Success
FC Windisch,31,https://www.windisch.com,schreinerei@windisch.com,,Success
JADE JAGUAR,90,,,,No Website
FC Zürich-Affoltern,174,,,,No Website
FC ZVVZ Milevsko,53,,,,No Website
FCリアル三芳ジュニアユース,60,,,,No Website
Wolvega,41,,,,No Website
FC Zeltweg,21,,,,No Website
FC Ylivieska,148,,,,No Website
FC大阪,362,,,,No Website
FC Zell am See,53,,,,No Website
FC Zbrojovka Brno,45,,,,No Website
FC Zollikofen,65,,,,No Website
FC Worpswede,18,,,,No Website
Fc Zell am  See,21,,,,No Website
FC Wichita,56,,,,No Website
バオムFC川崎,63,,,,No Website
イトゥアーノFC横浜,121,,,,No Website
FD Football Club,29,,,,No Website
アイリスFC住吉,225,,,,No Website
ふじざくら,263,,,,No Website
市川ガナーズ,810,,,,No Website
FC佐伯S-play,115,,,,No Website
FC川崎CHAMPジュニアユース,390,,,,No Website
FC Willisau,22,,,,No Website
FC Zuidwolde,32,,,,No Website
FC Wichita,105,,,,No Website
FCZJ,177,,,,No Website
FC Wisconsin - Girls,251,,,,No Website
FC ZBROJOVKA BRNO,49,,,,No Website
FC東京,1363,,,,No Website
FC青山,182,,,,No Website
Fecik23 Soccer,61,,,,No Website
FCセントラル福岡,90,,,,No Website
FD 2015 black,53,,,,No Website
FC東京むさし,11,,,,No Website
FC Zutphen,45,,,,No Website
FDC IOW,31,,,,No Website
Federació de Futbol de la Comunitat Valenciana,136,,,,No Website
FUNDACIÓ ESPORTIVA CAMPRODON,122,,,,No Website
FC武蔵ユナイテッドover50,130,,,,No Website
FC Yvonand,99,https://www.yvonand.com,,,Success
Liga UNIDA,268,,,,No Website
Federación de Las Palmas,14,,,,No Website
FC網走,39,,,,No Website
Federación Navarra de Fútbol,84,,,,No Website
Federacion de Rugby de la comunidad valenciana,106,,,,No Website
FFF Beach Soccer,136,,,,No Website
Willisau,137,,,,No Website
Federación Española Deportes con PC/DCA,41,,,,No Website
TEAM FEGHOUL,35,,,,No Website
Federación Extremeña de Fútbol,38,,,,No Website
FC Westlake,829,https://www.westlake.com,,,Success
Federación Vasca de Fútbol,83,,,,No Website
Seleccion Riojana,133,,,,No Website
Felinfoel AFC,26,,,,No Website
FEDERACION DE RUGBY DE MADRID,56,,,,No Website
Federación Española de Fütbol Americano,24,,,,No Website
Feilding High,98,,,,No Website
FC Wisconsin,110,https://www.wisconsin.com,,,Success
Felinfoel rfc,12,,,,No Website
Felician MSOC,81,,,,No Website
FCY rugby,135,https://www.fcyrugby.com,,,Success
Feekss,211,,,,No Website
Feildians Athletic Assn,120,,,,No Website
FCN1967,127,,,,No Website
FC Wisconsin,39,https://www.wisconsin.com,,,Success
FC Witikon,212,,,,No Website
Felixstowe and Walton Utd FC Limited,161,,,,No Website
NINERS Chemnitz,131,,,,No Website
FEMININES ASBO,58,,,,No Website
FC Zürich,230,https://www.zürich.com,,,Success
Felixstowe Rugby Club,35,,,,No Website
Felsted Sport,56,,,,No Website
Felipe Triana,214,,,,No Website
Feaster,15,,,,No Website
FC Wohlen,33,https://www.wohlen.com,,,Success
FD FOOTBALL ACADEMY,37,,,,No Website
FDCV,520,,,,No Website
Feniscowles & Pleasington FC,60,,,,No Website
Felician University,27,,,,No Website
FC Woippy,89,,,,No Website
FC VAL DE CHER,14,https://www.valdecher.com,jean-paul@mail.fr,,Success
Fenwick Lacrosse,26,,,,No Website
FEMINAS CIUDAD DE ORIHUELA,108,,,,No Website
Fenton Varsity Soccer,65,,,,No Website
F.C. VOLUNTAS,43,https://www.fcvoluntas.com,info@fcvoluntas.com,,Success
SLO,117,,,,No Website
FTC,30,,,,No Website
FIFT,25,https://www.fift.com,,,Success
Fenixx BeigHum,308,,,,No Website
Fenwick High School Soccer,213,,,,No Website
Feleti,11,,,,No Website
FCZM,25,,,,No Website
Feralpisalò S.r.l.,219,,,,No Website
Ferguson Soccer,40,,,,No Website
Ferris 5,26,,,,No Website
Feralpisalò,31,,,,No Website
Fern Adult Soccer,33,,,,No Website
Fernando Munoz Soccer,419,,,,No Website
Fermoy RFC,157,,,,No Website
Ferrymead Bays FC,348,,,,No Website
Ferrybank AFC,73,,,,No Website
Fersina Tour s.r.l.,350,,,,No Website
FESA 2012 Boys ECNL,31,,,,No Website
FESA 2008G NPL,41,,,,No Website
FHS Boys Soccer,108,,,,No Website
FESA 2009B ECNL (Team Camera),17,,,,No Website
Ferryhill Town Youth F.C,16,,,,No Website
Fenix Spedycja Sp z o o,12,,,,No Website
FC Woo,103,https://www.woofc.com,,,Success
FC United Nordic,76,https://www.nordic.com,,,Success
Felix,14,,,,No Website
FET Academy,238,,,,No Website
Fencibles United,697,,,,No Website
FC Wildschönau,14,https://www.wildschönau.com,,,Success
Fessenden Athletics,117,,,,No Website
Fethiyespor,42,,,,No Website
FERVOR,93,,,,No Website
Fever United4444,52,,,,No Website
CLM,133,https://www.clm.com,,,Success
Liechtensteiner Fussballverband,38,,,,No Website
Fellowship Christian School,135,https://www.fellowshipchristianschool.com,,,Success
FC Zuidlaren,87,https://www.zuidlaren.com,,,Success
Feather river,50,https://www.featherriver.com,,,Success
Fettes College,23,,,,No Website
FCW,30,https://www.fcwfc.com,,,Success
Etoile Sportive Milloise,87,,,,No Website
FF Bosnia and Herzegovina,17,,,,No Website
FFC Südost Zürich,64,,,,No Website
FFC Ennepetal,18,,,,No Website
FCW,80,https://www.fcwfc.com,,,Success
FETTES COLLEGE,199,,,,No Website
JHS/Saints,29,,,,No Website
The wolves,176,,,,No Website
FFC Wacker München 99 e.V.,363,,,,No Website
FH,41,,,,No Website
FG Schönwies/Mils,31,,,,No Website
FF Norden 02,20,,,,No Website
FFC Uzwil,13,,,,No Website
FFV Sportfreunde 04,71,,,,No Website
Fekete,67,,,,No Website
FCZ,12,,,,No Website
FDB,95,https://www.fdb.co.uk,info@fdb.co.uk,,Success
FHS Soccer,39,,,,No Website
Fermoy FC,49,https://www.fermoy.co.uk,info@designtoo.com,,Success
FHS Mens,86,,,,No Website
Fellsway Wanderers,14,,,,No Website
FHE Soccer(do not use),88,,,,No Website
FHS Soccer,12,,,,No Website
Fermoy,113,https://www.fermoy.co.uk,info@designtoo.com,,Success
Feyenoord,36,,,,No Website
Fiachra Burke Veo,67,,,,No Website
Fidel Solorzano,679,,,,No Website
Fellsway Wanderers FC,247,,,,No Website
Fiarfax Over 50 Soccer League,47,,,,No Website
FESA,169,,,,No Website
F.H. 19's,15,,,,No Website
FeelsGood FC,13,https://www.feelsgoodfc.com,,,Success
FEPE,209,,,,No Website
Feyenoord Academy,120,,,,No Website
Feyenoord Rotterdam,70,https://www.feyenoordrotterdam.com,,,Success
FIERCE (National League),500,,,,No Website
Fielden Park,54,,,,No Website
Fierce Futbol Lions,220,,,,No Website
FIFA High Performance,35,,,,No Website
FDC,210,https://www.fdc.com,info@fdc.com,,Success
FIERCE (Select & Academy),149,,,,No Website
Fife Milton Edgewood Soccer Club,12,,,,No Website
Fgura united fc,282,,,,No Website
FME Select B11 and B05/06,117,,,,No Website
Fenix FC,17,https://www.fenix.com,,,Success
FME SC,81,,,,No Website
Florida Elite Soccer Academy,184,,,,No Website
FEEL SPANISH FOOTBALL,347,https://www.feelspanishfootball.com,info@feelspanishfootball.com,,Success
Fife Steel Basketball Club,54,,,,No Website
FCQFC,42,,,,No Website
FIELD 4 ALL,35,,,,No Website
Filip Antonijevic,11,,,,No Website
Fgs,27,https://www.fgs.com,,,Success
Ferg,57,,,,No Website
Filip Pražák,68,,,,No Website
Filial River Plate Barcelona,23,,,,No Website
Pachuca Ga,47,,,,No Website
FHC,109,https://www.fhc.com,,,Success
FCW,137,https://www.fcwfc.com,,,Success
Felixstowe FC,12,https://www.felixstowe.com,,0123456789,Success
Film sport / demo veo camera,224,,,,No Website
Fierce Futbol,29,https://www.fiercefutbol.com,user@domain.com,,Success
Ferring,114,https://www.ferring.com,jo0-qame@ferring.com,,Success
FIFA,67,https://www.fifa.com,,,Success
Final Fix Solutions,13,,,,No Website
FITFUT,125,,,,No Website
FFK,24,,,,No Website
Finchley RFC,149,,,,No Website
FC Wilts,96,,,,No Website
Keysie,38,,,,No Website
Finnart Girls,126,,,,No Website
Harps,56,https://www.harps.co.uk,sales@kim.co.uk,,Success
Finnøy Idrettslag,54,,,,No Website
Davie and Brayden Finnigan,60,,,,No Website
FCA Lacrosse,155,,,,No Website
Fionntamhnach na Piarsaigh,94,,,,No Website
Fintry Sports & Recreation Club.,38,,,,No Website
FINTA_2,230,,,,No Website
Fintona Swifts,63,,,,No Website
Fionán R. Costello,64,,,,No Website
Felix S.,18,https://www.felixs.com,f@4x-150x150.png,,Success
FHL,48,https://www.fhl.com,,,Success
Fet IL,176,https://www.fetil.com,,,Success
FIlm,201,https://www.filmfc.com,,,Success
FIN VID,170,,,,No Website
FieldVision,69,https://www.fieldvision.co.uk,user@domain.com,,Success
Ferro,24,https://www.ferro.com,,,Success
Fever United,33,https://www.fever.com,,,Success
Fever United,13,https://www.fever.com,,,Success
Finnart Fc,158,https://www.finnart.co.uk,,,Success
Finaghy Football Club,26,https://www.finaghy.co.uk,,,Success
Fever United,340,https://www.fever.com,,,Success
Fever United,131,https://www.fever.com,,,Success
Fiorentina women,21,,,,No Website
.,226,,,,No Website
Fever United FC,15,https://www.fever.com,,,Success
FFC,30,https://www.ffcfc.com,info@ffcfc.com,,Success
Fever United,259,https://www.fever.com,,,Success
Finglas Celtic F C,47,https://www.celticfc.com,sign-for-celtic@2x.png,,Success
Firma WEICHSELBAUMER GmbH,46,,,,No Website
First Mobile Sports Academy,45,,,,No Website
Field Art,219,,,,No Website
Firies Gaa,73,,,,No Website
FIFOC,11,https://www.fifoc.com,,,Success
Oasis,269,,,,No Website
Firebrands Hockey Club,51,,,,No Website
fifco,81,https://www.fifco.com,,,Success
Finglas United,119,,,,No Website
Figgjo,68,https://www.figgjo.com,,,Success
FT Yorkshire,185,,,,No Website
Florida West 04/05/06,53,,,,No Website
FCF,618,https://www.fcf.com,admin@telepathy.com,,Success
Finn Harps Academy,100,,,,No Website
FinPa,84,https://www.finpa.com,,,Success
Firelands High School Soccer,123,,,,No Website
15 Degrees,113,,,,No Website
Na Fianna,49,https://www.nafiannafc.com,flags@2x.png,,Success
Firewolves,19,,,,No Website
FINS,315,https://www.fins.co.uk,shop@fins.co.uk,01772788032,Success
Fiera,106,https://www.fiera.co.uk,,,Success
Fishguard and Goodwick RFC,49,,,,No Website
Fisher Talent Group,38,,,,No Website
Foxes,72,https://www.foxesfc.com,,,Success
FN Rangers,119,,,,No Website
Fishers AFC,49,,,,No Website
Fisher-GCMS,157,,,,No Website
Field Veo,46,https://www.field.com,,,Success
FITTJA IF,102,,,,No Website
Fitzroy Gracemere RLFC,22,,,,No Website
FirstPoint USA,85,https://www.firstpointusa.com,main-banner-athletes@0.5x.webp,,Success
Fitness Lounge GmbH,85,,,,No Website
FTF Canada,413,,,,No Website
Fjerritslev IF,16,,,,No Website
FVFC,184,,,,No Website
Fivemiletown Utd,131,,,,No Website
