Club_Name,Recordings,Country,Website,Email,Phone,Contact_Score,Status
Limavady United FC,156,Northern Ireland,,,,0,Not Found
Lurgan,64,Northern Ireland,https://www.lurgan.co.uk,,,1,Found
Lavey,152,Northern Ireland,,,,0,Not Found
Erne Gaels,57,Northern Ireland,,,,0,Not Found
H&W Welders,58,Northern Ireland,,,,0,Not Found
Belnaleck GAC,58,Northern Ireland,,,,0,Not Found
Andersonstown community fc,60,Northern Ireland,,,,0,Not Found
Glentoran FC Youth Academy,65,Northern Ireland,https://www.glentoran.com,,,1,Found
Fintona Swifts,63,Northern Ireland,,,,0,Not Found
Garvagh Phoenix,59,Northern Ireland,,,,0,Not Found
Dromore GFC,63,Northern Ireland,https://www.dromoregfc.com,,,1,Found
Dromore Ladies,48,Northern Ireland,,,,0,Not Found
Methody Girls Hockey,62,Northern Ireland,,,,0,Not Found
Ards Football Club,80,Northern Ireland,https://www.ards.co.uk,,,1,Found
Glengad,56,Northern Ireland,,,,0,Not Found
Castlewellan GAC,53,Northern Ireland,,,,0,Not Found
Drumquin GFC,47,Northern Ireland,,,,0,Not Found
Belcoo,53,Northern Ireland,https://www.belcoo.co.uk,,,1,Found
Dollingstown fc,47,Northern Ireland,https://www.dollingstownfc.com,dollingstownfc.planterspark@yahoo.com,+44 7973629846,3,Found
Larne RFC,51,Northern Ireland,https://www.larnerfc.com,2431fa97889e4751b7ff02313b91d5a7@sentry.io,02828272643,3,Found
Maghery Sean Mc Dermotts,47,Northern Ireland,,,,0,Not Found
Clogher GAC,44,Northern Ireland,,,,0,Not Found
Crusaders Rugby Club,50,Northern Ireland,https://www.crusadersrugbyclub.com,2431fa97889e4751b7ff02313b91d5a7@sentry.io,,2,Found
Ballinamallard FC,47,Northern Ireland,https://www.ballinamallard.co.uk,,,1,Found
Beragh Red Knights,45,Northern Ireland,,,,0,Not Found
Devenish,46,Northern Ireland,https://www.devenish.com,,0421733794,2,Found
Bryansburn,43,Northern Ireland,https://www.bryansburn.com,,,1,Found
Knockbreda FC,43,Northern Ireland,https://www.knockbreda.co.uk,,,1,Found
Downshire YM FC,41,Northern Ireland,,,,0,Not Found
Ards FC Academy,52,Northern Ireland,https://www.ards.co.uk,,,1,Found
Derrygonnelly,40,Northern Ireland,https://www.derrygonnelly.co.uk,,,1,Found
Bryansford GAC,40,Northern Ireland,,,,0,Not Found
Enniskillen Gaels,41,Northern Ireland,https://www.enniskillengaels.com,,,1,Found
Daisy Hill FC,40,Northern Ireland,https://www.daisyhill.co.uk,,,1,Found
Limvady Grammar School,37,Northern Ireland,,,,0,Not Found
Crusaders FC,82,Northern Ireland,,,,0,Not Found
Glenariffe,38,Northern Ireland,https://www.glenariffe.com,,,1,Found
Coleraine Grammar School,44,Northern Ireland,,,,0,Not Found
Bredagh GAC,110,Northern Ireland,,,,0,Not Found
Mayobridge GAC,43,Northern Ireland,https://www.mayobridgegac.com,,,1,Found
Glenavon FC,196,Northern Ireland,https://www.glenavonfc.com,,,1,Found
Crusaders,46,Northern Ireland,,,,0,Not Found
Crusaders,46,Northern Ireland,,,,0,Not Found
Crusaders,46,Northern Ireland,,,,0,Not Found
Crusaders,46,Northern Ireland,,,,0,Not Found
Moneyglass GAC,64,Northern Ireland,,,,0,Not Found
