Club Name,Website,Email,Phone,Status
Dalbeattie Star,https://www.dalbeattiestarfc.com,Not found,08439539617,Active
Dallas Texans,https://www.dallastexans.com,Not extracted,Not extracted,Website found
Dollingstown fc,https://www.dollingstownfc.com,dollingstownfc.planterspark@yahoo.com,+447973629846,Active
Draperstown Celtic FC,https://www.draperstowncelticfc.co.uk,Not extracted,Not extracted,Website found
Dromore GFC,https://www.dromoregfc.com,Not found,07619783110,Active
Dubai Irish FC,https://www.dubaiirishfc.com,Not extracted,Not extracted,Website found
Dublin GAA,https://www.dublingaa.com,Not extracted,Not extracted,Website found
Dublin Hospitals FC,https://www.dublinhospitalsfc.com,management@dublinhospitalsfc.com,08581898572,Active
Dumbarton,https://www.dumbarton.com,Not extracted,Not extracted,Website found
East Fife,https://www.eastfife.com,Not extracted,Not extracted,Website found
East Galway,https://www.eastgalway.com,Not extracted,Not extracted,Website found
East Kilbride,https://www.eastkilbride.com,Info@EastKilbride.com,09560482045,Active
Edinburgh City,https://www.edinburghcity.com,Not extracted,Not extracted,Website found
Elgin City,https://www.elgincity.co.uk,Not extracted,Not extracted,Website found
Florida Premier FC,https://www.floridapremierfc.com,info@floridapremierfc.com,08628405154,Active
Florida Rush,https://www.floridarush.com,Not extracted,Not extracted,Website found
Florida United,https://floridaunited.com,Not extracted,Not extracted,Website found
Forfar Athletic,https://www.forfarathletic.co.uk,Not extracted,Not extracted,Website found
Galway GAA,https://www.galwaygaa.com,Not extracted,Not extracted,Website found
Groomsport FC,https://www.groomsportfc.co.uk,Not extracted,Not extracted,Website found
Hawick Royal Albert,https://www.hawickroyalalbert.co.uk,Not extracted,Not extracted,Website found
Huntly,https://www.huntly.co.uk,Not found,09444809524,Active
Irelanders,https://www.irelanders.com,Not extracted,Not extracted,Website found
Irish FA,https://www.irishfa.com,Not extracted,Not extracted,Website found
Irish Rovers,https://www.irishrovers.com,Not extracted,Not extracted,Website found
Keith,https://www.keith.com,You@Keith.com,Not found,Active
Kelty Hearts,https://www.keltyhearts.co.uk,Not extracted,Not extracted,Website found
Linlithgow Rose,https://www.linlithgowrose.co.uk,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,00000095367,Active
Lossiemouth,https://www.lossiemouth.com,Not extracted,Not extracted,Website found
Loughgall FC,https://www.loughgallfc.co.uk,eben@eyebytes.com,06280193236,Active
MK Irish,https://www.mkirishfc.co.uk,Not extracted,Not extracted,Website found
MLS Next,https://www.mlsnext.com,sales@solidearth.com,04924770831,Active
Maiden City,https://www.maidencity.com,Not extracted,Not extracted,Website found
Montrose,https://www.montrosefc.com,forsale@montrosefc.com,Not found,Active
Moyola Park FC,https://www.moyolaparkfc.co.uk,Not extracted,Not extracted,Website found
Nairn County,https://www.nairncountyfc.com,Not extracted,Not extracted,Website found
Newton Stewart,https://www.newtonstewart.co.uk,Not extracted,Not extracted,Website found
PSNI FC,https://www.psnifc.com,Not extracted,Not extracted,Website found
Peterhead,https://www.peterhead.com,Not extracted,Not extracted,Website found
Portstewart FC,https://www.portstewartfc.com,Not extracted,Not extracted,Website found
Preston Athletic,https://www.prestonathletic.co.uk,Not extracted,Not extracted,Website found
Rothes,https://www.rothesfc.co.uk,Not extracted,Not extracted,Website found
Selkirk,https://www.selkirk.com,Not found,02867230547,Active
Stenhousemuir,https://www.stenhousemuir.com,broker@traffic.club,Not found,Active
Stirling Albion,https://www.stirlingalbionfc.co.uk,Not extracted,Not extracted,Website found
Stranraer,https://www.stranraer.co.uk,Not extracted,Not extracted,Website found
The Spartans,https://www.thespartans.co.uk,info@ndiscovered.com,01727301112,Active
Threave Rovers,https://threaverovers.co.uk,mailthreaveroversfc@btconnect.com,08670505063,Active
Turriff United,https://www.turriffunitedfc.co.uk,Not extracted,Not extracted,Website found
Vale of Leithen,https://www.valeofleithen.co.uk,muiry1873@hotmail.com,01596695368,Active
Vale of Leven,https://www.valeoflevenfc.co.uk,INFO@VALEOFLEVENFC.CO.UK,02318477801,Active
Warrenpoint Town,https://warrenpointtown.com,Not found,08572810343,Active
West Florida Flames,https://www.westfloridaflames.com,Not extracted,Not extracted,Website found
Whitehill Welfare,https://www.whitehillwelfare.com,Not extracted,Not extracted,Website found
Wick Academy,https://www.wickacademy.com,Not extracted,Not extracted,Website found
