Club Name,Country,Recordings,Emails,Phones,Websites,Contact Found
Chelsea Rovers,England,217,chelsearoversfc@gmail.com; corb989@gmail.com,+44 7840 304414; 7840 304414; 07383635240; 07960047518; 07775168901; 0738363524; 0796004751; 0777516890; 07840304414; 7951 379492; 07951 379492; 0784030441,https://www.pitchero.com/clubs/chelsearoversfc/contact/contact-official-237162; https://football.mitoo.co.uk/ClubList.cfm?fmTeamID=2877&LeagueCode=SSEC2023; https://rocketreach.co/chelsea-rovers-football-club-management_b4300b56c1f6cf8b,True
Claudelands Rovers,England,105,,97802520621; 1298437408; 12345678910; 1301173322; 1234567891; 9780882959; 97808829591; 9780736057; 1299440116; 9780252062; 97807360579,https://en.wikipedia.org/wiki/Picnic; https://www.merriam-webster.com/dictionary/picnic; https://www.imdb.com/title/tt0048491,True
Doncaster Rovers,England,350,president@doncasterrovers.org; ifollow@efl.com; vicepresident@doncasterrovers.org,,https://southern-football-league.co.uk/team/DoncasterRovers/376/P; https://www.ceoemail.com/s.php?id=ceo-640757; https://www.doncasterroversfc.co.uk/contact-us/success/,True
East London Athletic,England,190,,,,False
Elite London Academy,England,115,info@elafootball.com,07958329664; 0795832966,https://eliteldnacademy.co.uk/join-us/; https://elafootball.com/contact/; https://www.facebook.com/Elitelondonacademy/about/,True
England Amputee Football Association,England,190,,01704576676; 0170457667,https://register-of-charities.charitycommission.gov.uk/en/charity-search/-/charity-details/328551/contact-information; https://prospectoo.com/company/TheEnglandAmputeeFootballAssociation-19055311/; https://www.theeafa.org/contact,True
Eynesbury Rovers,England,122,,,,False
Godmanchester Rovers,England,180,,,,False
Gresley Rovers,England,236,shamsamalik793@gmail.com; info@connectengineering.co.zanqobim; stevergriffiths@hotmail.com,0746859230; 07495452720; 07468592305; 0749545272,https://contactout.com/shamsa-malik-45832; https://rocketreach.co/corby-macdonald-email_123237729; https://www.gresleyrovers.com/contact/,True
Haverhill Rovers,England,194,,,https://1library.org/article/citoblocos-derrames-pleurais-comparação-dos-métodos-agar-citotubo.q73dndny; https://repositorio.hff.min-saude.pt/bitstream/10400.10/339/1/HISTOGEL+APTAP+2011.pdf; https://acsjournals.onlinelibrary.wiley.com/doi/full/10.1002/cncy.21814,False
England IWFF,England,104,info@iwff.org.ukour; info@iwff.org.uk,,https://iwff.org.uk/about; https://www.facebook.com/groups/304148626888124/permalink/1243933499576294/; https://iwff.org.uk/,True
Kempston Rovers,England,215,,44123485234; 6891011121; 14151617181; 4151617181; 01112131415; 91011121314; 1718192021; 1920212223; 8192021225; +441234852346; 89101112131; 41516171819; 8910111213; 17181920212; 68910111213; 9101112131; 3141516171; 1415161718; 4412348523,https://citymaps.uk/sports-complex/bedford/kempston-rovers-fc/; https://www.whitepages.com/address/172-Blackfoot-St/Craigsville-WV/AEoLel4v3gj; https://www.neverbounce.com/company/kempston-rovers/532611018,True
Letterkenny Rovers,England,243,,,https://www.findglocal.com/IE/Gweedore/2202126720069686/Letterkenny-Rovers-FC; https://www.letterkennyroversfc.ie/; https://www.cybo.com/IE-biz/letterkenny-rovers-fc,False
LIVERPOOL F.C,England,898,residents@liverpoolfc.com,,https://www.liverpoolfc.com/info/contact-us; https://faq.liverpoolfc.com/articles/contact-us/how-can-i-contact-the-club/65969c2374e6ff44331e56cf; https://tovisorga.com/liverpool/how-do-i-contact-liverpool-fc/,True
London Bees,England,291,tellus@thehivelondon.comcopyright,,https://londonbeesfc.com/contact-page/; https://www.crunchbase.com/organization/london-bees; https://rocketreach.co/london-bees-profile_b567f592f682384d,True
London Football School,England,222,,97814050492; 9781351167; 9781317047; 0200168901; 9780600016; 97801902966; 1304319480; 1334658464; 0305803413; 97807190184; 9780415020; 97898144353; 1850660316; 1299440116; 97806000168; 97817853606; 9789814435; 9780470619; 97801928010; 9780192801; 02001689017; 97813170473; 97804706196; 0000000003; 9781405049; 1277223903; 97804150209; 9780190296; 9780719018; 97811391635; 97818561915; 0521089807; 1298437408; 00000000038; 9781856191; 9781785360; 0470619651; 2010282921; 97813511677; 9781139163,https://www.britannica.com/place/London; https://www.visitlondon.com/things-to-do/101-things-to-do-in-london; https://en.wikipedia.org/wiki/London,True
London Lions,England,113,office@thelondonlions.comcorporate; office@thelondonlions.com; policycontactoffice@thelondonlions.comtickets; tickets@thelondonlions.commanagementthe; shop@thelondonlions.com; shop@thelondonlions.comthe; thelondonlions.commedia@thelondonlions.comarenathe,,https://www.thelondonlions.com/contact; https://shop.thelondonlions.com/pages/contact; https://www.thelondonlions.com/,True
London Lions,England,332,office@thelondonlions.comcorporate; office@thelondonlions.com; policycontactoffice@thelondonlions.comtickets; tickets@thelondonlions.commanagementthe; shop@thelondonlions.com; thelondonlions.commedia@thelondonlions.comarenathe,,https://www.thelondonlions.com/contact; https://www.crunchbase.com/organization/london-lions; https://register-of-charities.charitycommission.gov.uk/en/charity-search/-/charity-details/5225851/contact-information,True
London Wayfarers,England,140,,,https://contactout.com/archie-thomas-62308; https://rocketreach.co/alexandra-horowitz-email_76961464; https://contactout.com/company/London-Wayfarers-Hockey-Club-48740,False
Lymm Rovers,England,213,membership@lymmpiranhasjfc.com; lymmrovers@gmail.com; info@macclesfieldfc.com,,https://fulltime.thefa.com/displayTeam.html?id=426654941; https://www.facebook.com/lymmroversfootballclub/photos/please-share-guys-lymm-rovers-fc-continue-to-welcome-new-adult-players-along-to-/1165337182295034/; https://www.playerwanted.co.uk/team/lymm-rovers-jfc-u8-s,True
Manchester Futsal Club,England,164,,,,False
Manchester Magic,England,156,,,https://www.studiopetrillo.com/glossario-termini-edilizia.html; https://biblus.acca.it/definizioni-regolamento-edilizio-unico/; https://www.edilidee.it/costruzione/sollevamento-del-tetto/,False
Manchester,England,137,,,,False
Manchester Titans,England,188,,,,False
