Club Name,Recordings,Club Identifier,Country,Activity_Score
AFC Lightning,370,atlanta-football-club-lightning,England,370.0
AK - FCB Ostrava U19,366,akademie-fc-banik-ostrava-z-s,England,366.0
FFC Wacker München 99 e.V.,363,ffc-wacker-munchen-99-ev,England,363.0
MNUFC Academy,363,minnesota-united-fc-academy,England,363.0
BFC Daugavpils,357,futbola-centrs-daugavpils,England,357.0
LCFC Women Academy,355,louis-sowe-3,England,355.0
PFC. Slavia-1913 Sofia,353,academy-slavia-sofia-1913,England,353.0
Downtown Las Vegas Soccer Club,348,downtown-las-vegas-soccer-club,England,348.0
Appleton AFC,346,appleton-fc,England,346.0
Dorking RFC,344,dorking-rugby-football-club,England,344.0
KFC EPPEGEM,339,zaakvoerder-uniac-bvba,England,339.0
CELTICS / MAFC,338,celtics,England,338.0
IFC of MS,335,international-futbol-club-of-ms,England,335.0
London Lions,332,london-lions-group-limited,England,332.0
East Fife CFC,329,east-fife-community-football-club,England,329.0
Birmingham Futsal,328,birmingham-futsal,England,328.0
LFC IA,322,liverpool-international-academy-mactri,England,322.0
Fce Mérignac Arlac,321,football-club-des-ecureuils-merignac-arlac,England,321.0
DEFC 2014,319,sporting-de,England,319.0
Ipswich RFC,316,ipswich-rugby-football-club,England,316.0
Kitchener TFC,316,kitchener-toronto-fc,England,316.0
FCF - Fútbol,312,fcf-futbol,England,312.0
MarugameFC,309,marugame-football-club,England,309.0
KFC Dessel Sport,308,koninklijke-football-club-dessel-sport,England,308.0
MFC club,306,mfc-club,England,306.0
ジョイフル本田つくばFC,305,joyful-honda-tsukuba-fc,England,305.0
Buchholzer Fußball Club e.V. -BFC-,304,buchholzer-fuball-club-ev-bfc-,England,304.0
FCアミーゴ,300,fc-7d13f6db,England,300.0
FCI Tallinn,300,fc-infonet-tallinn,England,300.0
FCF NEUVILLETTE JAMIN,298,fcf-neuvillette-jamin,England,298.0
LAFC SCY,295,lafc-so-cal-team-plan,England,295.0
London Bees,291,barnet-fc,England,291.0
JFC FUTURO,287,veo-326,England,287.0
FCV Dender EH - JEUGD,281,fcv-dender-eh,England,281.0
AFC Bournemouth,275,afc-bournemouth,England,275.0
KFC Nijlen,273,kfc-nijlen-vzw,England,273.0
FC1 Soccer Academy and Glenview Soccer Club,273,fc1-academy-and-glenview-soccer-club,England,273.0
Mousehole AFC,263,mousehole-1st-team,England,263.0
Milltown-Castlemaine,261,milltown-castlemaine-gaa-club,England,261.0
KFC Komárno,256,kfc-komarno-18383f9b,England,256.0
Georgetown Visitation,252,georgetown-visitation-preparatory-school,England,252.0
Brothers Townsville Football Club,248,brothers-townsville-football-club,England,248.0
BFC DYNAMO,240,berliner-fuballclub-dynamo-ev,England,240.0
AFC Whyteleafe Youth,237,junior-elite-footbal-club,England,237.0
FCB Elite,236,fcb-elite,England,236.0
Cheong-Ju FCK,236,cheong-joo-fck,England,236.0
BKFC x Arni,233,ben-kettrick-football-coaching-x-arniston-rangers,England,233.0
Burton RFC,233,burton-rugby-football-club,England,233.0
Dalkeith Thistle CFC,232,dalkeith-thistle,England,232.0
FCAZ/GYSA,230,gilbert-youth-soccer-association,England,230.0
DCFC South Oakland,227,detroit-city-fc-south-oakland,England,227.0
AFC Malmen,227,afc-malmen,England,227.0
Chobham RFC,227,chobham-rugby-football-club,England,227.0
AFC Knowsley,226,afc-knowsley,England,226.0
Blantyre Celtic CFC,226,blantyre-celtic-yfc,England,226.0
アイリスFC住吉,225,fc-1586,England,225.0
AFC Kingston Youth,225,afc-kingston-youth,England,225.0
London Football School,222,london-football-school-0393ac66,England,222.0
Georgetown College,222,brent-w-chase,England,222.0
Helensvale Hornets RLFC,214,helensvale-hornets-rlfc,England,214.0
GXFFC U14 Youth,214,gerrards-cross-and-fulmer-u11-youth,England,214.0
Ashington AFC,214,ashington-association-football-club,England,214.0
AFC Ewell,214,afc-ewell,England,214.0
Clondalkin RFC,212,clondalkin-rugby-football-club,England,212.0
부천FC 1995,211,1-3a303297,England,211.0
Devonport Services RFC,210,devonport-services-rugby-football-club,England,210.0
AFC Totton,208,afc-totton-1886-ltd,England,208.0
Boyne RFC,208,boyne-rugby-football-club,England,208.0
FPFC  - Parents Subscription,207,chargers,England,207.0
FCD Bailey,206,fc-dallas-bailey,England,206.0
Bucklands Beach AFC,203,bucklands-beach-afc,England,203.0
Memphis IFC,201,memphis-international-fc,England,201.0
AFC Pogmoor,200,afc-pogmoor,England,200.0
AFC Leyton,200,afc-leyton,England,200.0
FCD 10B Academy,199,statik-2010-boys,England,199.0
Bideford AFC,199,bideford-association-football-club,England,199.0
EKFC 2009s,199,east-kilbride-football-club-2009s,England,199.0
AFC Whyteleafe,198,balham-football-club-2,England,198.0
AZFC Select,197,azfc-select,England,197.0
Caldicot RFC,196,caldicot-rugby-club-ltd,England,196.0
Cambridge Utd WFC,196,cambridge-united-womens-football-club-2,England,196.0
FCK 09,194,fc-kirkkonummi-pojat-09,England,194.0
Cookstown Youth Football Club,194,cookstown-youth-football-club,England,194.0
Holler UNFC,192,holler-utanpotlas-nevelesi-es-felnott-club,England,192.0
Clarkstown Soccer Club,192,clarkstown-soccer-club,England,192.0
CFC Barcelona,191,israel-ausua,England,191.0
AFC Portchester,191,afc-portchester,England,191.0
Cabramatta JRLFC,190,cabramatta-jrlfc,England,190.0
England Amputee Football Association,190,england-amputee-football-association,England,190.0
Manchester Titans,188,manchester-titans-afc,England,188.0
DUFC NATIONAL SOFIA,187,fc-national,England,187.0
AHFC 07G ECNL,187,albion-hurricanes-07g-ecnl,England,187.0
Gravesend RFC,187,gravesend-rfc,England,187.0
Elite AFC,185,jj-veo,England,185.0
LFC Foundation,185,liverpool-football-club-foundation,England,185.0
Chasetown Youth Development Pathway,184,chasetown-ydp-youth-development-pathway,England,184.0
LAFC-SCV,184,lafc-so-cal-youth-scv,England,184.0
KFC Turnhout,184,kfc-turnhout-02147ff6,England,184.0
BBRFC celtic,183,bbrfc-celtic,England,183.0
FreemanFC,180,freemanfc,England,180.0
Ajax MPFC,179,ajax-midland-park-fc,England,179.0
FCDA Main,179,fbsl-tuzos,England,179.0
Brechin Victoria JFC,179,brechin-victoria-jfc,England,179.0
Holt RFC,179,holt-rugby-football-club,England,179.0
FCL RUGBY,178,football-club-lourdais-rugby,England,178.0
Cringleford JFC,176,cringleford-jfc,England,176.0
Guildfordians RFC,175,guildfordians-rugby-football-club,England,175.0
Headingley AFC,175,headingley-afc,England,175.0
Llandaff RFC,174,llandaff-rfc,England,174.0
AFC 06,171,americas-fc-06,England,171.0
FCSO69,170,fc-sud-ouest-69,England,170.0
FCSudtirol (Bolzano - Italia),170,fcsudtirol,England,170.0
FC08 Bad Säckingen,168,fc08-bad-sackingen-e-v,England,168.0
CitySC San Marcos,168,citysc-san-marcos,England,168.0
LAFC - Golden Valley High School,168,pateadores-golden-valley-high-school,England,168.0
Farnham RUFC,165,farnham-rufc,England,165.0
Manchester Futsal Club,164,manchester-futsal-club,England,164.0
HFC/Souderton,164,hfcsouderton,England,164.0
Eastwood CFC,164,eastwood-community-football-club,England,164.0
Dundee Violet JFC,161,dundee-violet-jfc,England,161.0
Loughmacrory Gfc,161,loughmacrory-gfc,England,161.0
Germantown Legends 09,160,germantown-legends-f509d7d6,England,160.0
AYLESFORD BULLS RFC,160,aylesford-bulls-rfc,England,160.0
Basketball England,158,basketball-2896a4d2,England,158.0
Dundalk RFC,157,dundalk-rugby-club,England,157.0
Fermoy RFC,157,fermoy-rfc,England,157.0
Hermes JFC,157,hermes-jfc,England,157.0
Cookstown High School,156,cookstown-high-school,England,156.0
Didcot RUFC,156,didcot-rugby-union-football-club,England,156.0
Manchester Magic,156,manchester-magic-and-mystics,England,156.0
CCFC B11 GREY,156,culver-city-football-club-boys-2011-gray,England,156.0
FCA Lacrosse,155,fellowship-of-christian-athletes-2,England,155.0
Käpylän Pallo United14,155,kapylan-pallo-united-2014,England,155.0
citysc,155,sdsc-1ab2fc10,England,155.0
KFC Houtvenne,153,kfc-houtvenne-2350e382,England,153.0
MPFC Juniors,153,middle-park-football-club,England,153.0
Oak Mountain Football & AFC 12B Pre ECNL South,153,alabama-football-club-south-2012,England,153.0
AFC EAST,153,midwest-premier-futbol-club,England,153.0
Chippenham RFC,152,chippenham-rfc,England,152.0
KFC Witgoor Sport,152,koninklijke-football-club-witgoor-sport,England,152.0
DUFC Blue - 2012,152,ayso-united-downey-2012,England,152.0
MFC-CFC,151,mississauga-football-club-dbd66902,England,151.0
Clanny85fc,151,clanny85fc,England,151.0
AFC Legends,150,afc-legends,England,150.0
Hillsborough JFC,149,elite-training,England,149.0
Barrhead YFC,149,only-sport-ltd,England,149.0
Letham JFC,149,letham-junior-football-club,England,149.0
Finchley RFC,149,finchley-rugby-club-781ba065,England,149.0
Malahide RFC,148,malahide-rugby-football-club,England,148.0
KFC Punt-Larum,148,kfc-punt-larum,England,148.0
Derby RFC,148,derby-rugby-football-club,England,148.0
DCFC Genesee,146,detroit-city-football-club-youth-genesee,England,146.0
FCS Warriors,146,faith-christian-school-warriors,England,146.0
Llantwit Fardre RFC,146,llantwit-fardre-rugby-football-club,England,146.0
Halls AFC,146,halls-athletic-football-club,England,146.0
Chew Valley RFC,145,chew-valley-rugby-football-club,England,145.0
Letterkenny RFC,143,letterkenny-rugby-club,England,143.0
ながいユナイテッドFC,142,fc-82ff6fe8,England,142.0
H & B RFC,142,hastings-bexhill-rfc,England,142.0
Consett RFC,141,consett-and-district-rfc,England,141.0
London Welsh RFC,141,cai-griffiths,England,141.0
FCD New Eagles 2010,140,fcd-new-eagles-2010,England,140.0
London Wayfarers,140,london-wayfarers-hc,England,140.0
Cfc White 2012,140,family-6ef561b8,England,140.0
